restaurante,place_id,username,rating,comentario,date
Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Rachel B,4,"Quality coffee and nice atmosphere.

Overall, the quality here is very nice. We ordered a variety of items to try and all were very good. Only item that we truly did not enjoy was the espresso and panna. Espresso was burnt and once that happens, even the sweetness of the panna can’t cover it. All other coffee drinks were good however. I ordered the biscoito, which was very good. The other dish, bread and butter, was so so honestly. I think ultimately it would’ve been paired better with a different bread than brioche, which isn’t what you typically expect for a bread and butter.

Also love the way the place is decorated, and the outdoor space is very nice. Two thumbs up for that.

A few small downsides for me: the menu is a bit confusing. We didn’t really understand the first several options prior to getting to what appears to be the main menu. Overall, I think the menu could be clarified more, including food option descriptions (maybe pictures?).

Other small downside is they seat you, which is possibly in order to effectively fill their space. However, for me, it gives more of a restaurant feel, rather than a casual, cozy café. As far as this point goes, I don’t really take away from them, as I believe this is more of a personal preference when grabbing café.

#sãopaulo #sp #sampa #café #coffee #coffeelab #caffeine #espresso #biscoito #cappuccino",4 years ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Andrea Naomi Kutani,5,"Igor, Maria and all the staffs are amazing! Always atencipating our orders and they always have a smile on the face! They receive us very well, every week I return here just for the good service",5 months ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Jino Hong,5,"All the staff are very nic! The beer and the drinks are always in the perfect temperature , the fried pastel is PERFECT!!  Igor ir the best , he is very condescending and very friendly! Look for him, he is the best! 😉",5 months ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Carlos P.,4,Nice atmosphere to have a coffee with some snacks. Some beer and soft drinks available,3 years ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Andre Amarante,5,Top,3 years ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,apex legends,5,"Great drinks and beers always cold, excellent portion of pastel and the service staff is great, especially the waiters igor, eris and mari.",5 months ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Renata,4,To have a coffee is always wonderful! There is a truffled carrot cake that is unreal good… lunch is always full and the food takes a while to be served.,7 months ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Jonathan Castro,5,"I speak Spanish and I felt very comfortable that they attended me in my language, everyone was very friendly.",5 months ago
Barões do Cafe,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Sueli Queiroz,4,Good service and good options for breakfast.,7 months ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,Ricardo Urresti,5,"Great bakery, coffee is right, try their ice creams or a milkshake. Cakes are just what you want for a coffee companion. There is lunch and dinner as well, looks good, didn""t tried.",3 weeks ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,Davi Castejon,4,"It was perfect to have a quick breakfast. The croissants was one of the bestest croissants that I""ve ever eaten.",3 months ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,Jeon Mok,5,"The best little sandwich I""ve ever had (Misto quente). Warm soft bun and the cheese and ham were silky and luscious. I also had their Cafe Affogato multiple times. Great ice cream and fresh espresso",2 years ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,Alex Vital,5,"Amazing Brazilian food, great service and scrumptious desserts options.",3 weeks ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,Gm Mg,3,"this place is nicely designed and organised (in braziian standards), it has good seats, waitresses and is seperated from the street, but the food it serves is not so much to my taste. everything i tried tasted good and clean, but was nothing special, just the same items you can find in most cafes in sao paulo. the looks are great but the ingridients are quite average and create the same range of tastes you can find in each and every sao paulo""s cafe. i don""t understand why they don""t try to be a bit creative or unique. prices are same as in europe, so they could try a bit harder.",7 months ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,greg uw,5,"Pistachio gelato is excellent. Very good chocolate gelato also. 5*
Cafe con leche was good 3*",2 months ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,Joana Duailibi,5,Went there for coffee and a dessert. Everything was delicious.,7 months ago
Café Sol,ChIJKY73HalZzpQR1ZE9JE8dzS0,Marco Vieira Pinto,3,"Honestly it is more of deli place than a coffee place. They have nice coffee and milk drinks.
But, the coffee is not that good. The Expresso is below regular standard.
They need to hire a Barista.",a year ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,Jeff Walker,5,"American visitor for business. Excellent Coffee place, best pour over I’ve ever had and a very tasty eggs Benny",4 months ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,Andrea Moraes Sacramento,5,"Excellent coffee, eggs, sweeties, spectacular service... It""s so worth it!",a month ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,William Herl,4,UM is a unique place in São Paulo for having coffee and…The staff are exceptional and knowledgeable.  The location design is well thought and quite comfortable.  When visiting São Paulo it is one of the places you should have on your “want to have coffee there” list.,a year ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,Andrew Swan,5,"Really loved the croissant with catipiry ( I added perfect scrambled eggs).
The best coffee in Brazil comes from the Campanha area in my humble opinion, little wonder I will be back with visitors.",a year ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,ENRIQUE PARK (KUI HYUN),5,Awesome!!,a year ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,Ricardo Gabriel,3,Most expensive water bottle ever,4 months ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,WILLIAN PRUDENTE,5,"Nice place, good attendance and the best coffee I've ever had! | Café number #One in all of Brazil.",5 years ago
Um Coffee Co.,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,Emanuel Feliciano,5,Organic food and tasteful coffe. Amazing!,10 months ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,Winicius Feitosa,3,"3 stars is the maximum! Food not good, coffee not good…maximum average quality. Servers are lost most of the time…! The upside is the place…plenty of places including outside",2 months ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,Päde Hastler,5,🦊 This place is a nice place to calm down and relax. Enjoy the atmosphere of a well decorated lovely nice coffee with your friends and family. The food is delicious and decoration is in a unique style. Parking spaces on the streets are available. This place really enriches the neighborhood. 🍰☕️,4 years ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,Haenee Kim,5,"Even though I can’t speak Portuguese, I had an amazing experience here. The waitresses tried to translate the menu and helped me to choose one:) The carrot cake was an awesome choice. It’s very fresh and rich! Thank you for your great service❤️",4 years ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,Robson Souza,5,Awesome cozy place with beautiful decoration!  Service is fast and kind. Food and coffee are great!,6 months ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,Mia Wang,3,Lovely environment but the food is overpriced. The cashier was a bit not organized as we had to wait to pay the bill....,5 months ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,jeff green,2,"I used to enjoy going there until one day, the waitress served bad coffee (cold and weak) I called her up and explained that I liked my coffee warmer and stronger.(Did I mention the coffee tasted like sink water?) The waitress was upset and told me the barista there knew what she was doing. So, bottom line, I am supposed to drink bad coffee when I go there? I don""t think so. Too bad. It was a nice place. Good luck anyway.",3 years ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,Jeff Green,4,"Attractive and cozy place for good coffee and things. You might want to stay longer to chat with a friend or two. It s 2 story house with gizmos for you to buy. Read the signs to hrlpy you engage in conversation with friends. Sometimes, it gets crowded, but it is not too bad. Visit it. You will like it. Cheers.",4 years ago
Café das Coisinhas,ChIJy_Nx8yVazpQRfS3c9meKjik,Zainab Khan,5,Loveeed this place. The place is beautiful and the staff is very sweet and helpful. Only place in Brazil where I was able to find iced coffee,a year ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Fábio Henrique Bittes Terra,3,"Their call is nice, but still there is a way to go. Food was good, but it took too long to arrive (and it isn’t a slow food place). Drinks as well took too long to arrive, and we saw them waiting after the kitchen finished them: thus they arrived only warm and not hot. Prices are fair. Another hint would be redesigning the menu, because theirs is fairly confusing. Sure the place will improve through time.",a year ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Kenny Ronkainen (Kenny Ronkainen),5,"Latte was good, and there are plenty of healthy options to choose from. Tried tapioca and fruit salad.",5 years ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Matthew Ross,5,Nice little Cafe in a neighbourhood environment. I recommend the omelette and definitely the coffee.,4 months ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Luca Vergano,3,"Quality is good, it could be really there for the full give stars. Problems: staff b quite often gets the order wrong. They cannot time coffee and food to arrive together. And you really need to set aside some time as you have to wait for food. A fair bit. But it is good, which is a shame",a year ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Adrian Koch,5,"One of the best cafés of the area.

They have good coffee and are the only place on this side of Moema that brings you a shot of mineral water along your espresso.

Their warm menu is good, too.

Pets welcome & has a little terrace with two tables.",5 years ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Valesca Harker,3,"Few options and missing ingredients. the waitress, instead of telling there were missing ingredients for the dish, brought it incomplete instead.",5 years ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Sarrah Spruyt,5,"We just had a drink, but it was all very good. Observing the food served around us, it must be good as well!",3 years ago
Freak Café,ChIJG7HwmhFazpQR8FYyeympwGI,Mariajosé Vargas Higuera,4,"The food was very good, but they have a  very poor services.",a year ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Philip,3,"These 3 stars don""t mean that it is bad, but it is also sometimes called the best place for brunch.

The waiters were wearing sweat pants, upstairs not a single picture on the wall, overall very cold atmosphere and the food is not at all special. For the price not worth it. I would suggest the owner to put in more effort: make it cozy, train the staff a bit more and improve the cooking.

The location is amazing otherwise.",4 years ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Pedro Aranha,3,Not special. Even the museum is not spetacular. The view is great.,a year ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Alejandro Fiel Martínez,3,"Coffee very light and not the best carrot cake, it""s worth the view of Sao Paulo thought.",a year ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Carlos Augusto,5,"Good, honest and simple cafe. Can""t ask for more than that.",7 months ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Alexandre Aimbiré,4,"Your paying for the view, not for the coffee. Everything is passable, but with a hefty price.",3 years ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Corte Real013,5,Top,3 years ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Ines Castelltort,3,"Views okay, food okay, but the coffee was horrible",4 years ago
Café do Farol - Mag Café,ChIJA1dkWKBZzpQRNcE14mmzErQ,Holde Eller,5,Top,4 years ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,JurkaDS,5,"Let me get this straight. When we got to the place staff was really not happy to see us, this 2 girls that worked there they we not rude, but I felt so unfriendly vibes from them, that made me feel very uncomfortable. Boy who took our orders spoke pretty good English so he took our orders instead.

In general about the coffee place itself even with such personal I simply can""t give it less than 5 stars. Food is incredibly delicious. I ordered schakshuka and it was one of the best I ever ate. Coffee is good. Juices are very fresh. I give it a good recommendation. Hopefully people who work there will be a bit more happier to see you when you get there 😉",9 months ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,Hully Rolemberg,5,one of the best places for a brunch/coffee date in SP. the place is small and that’s what makes it special. fair prices and good food. love the banana bread!,9 months ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,Jacob Fraczek,5,"So, for a review from an actual native English speaker, let me set the record straight, again. I""ve visited here several times during my trip to Brazil. Since I""ve set foot in this establishment, there""s been nothing but positive vibes from the staff and a great atmosphere, even from the staff behind the counter.  The wait staff is extremely attentive and they care about giving you a good experience.  Even after a couple visits, multiple staff remembered my favorite drink even though they serve hundreds of people daily. The main professional waiter Isaac and the owner(s) also speak good English. They have pretty much any drink you can imagine: hot and cold coffee, including cold brew, refreshing detox drinks, creative experimental drinks, smoothies, an assortment of dessert cakes, appetizers and many turkish inspired meals and breakfast dishes. Everything I have tried so far has been fresh and good.  The prices are very reasonable for the neighborhood as well.  It is true it""s not in a very large space, but the seat planning is very spacious and I""ve never felt overcrowded.",2 months ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,Nath Levy,4,"Café Habitual is nice and cozy. The space is small so it""s better for smaller groups of people. The dishes are delicious and they offer both vegetarian and vegan options. I highly recommend their vegan avocado pie topped with mango and coconut, or any other desserts they have on display (like their brownies). It""s overall a bit pricey but you get what you pay for and for an occasional outing is excellent!",2 years ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,Amelia Murdoch,5,My favourite cafe in São Paulo! Plenty of options of good quality food.,10 months ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,Mak Dukan,4,A very cozy place with good coffee and great for a brunch. But if you are very hungry I would not advise going here because one portion off the egg Benedict will not suffice. At least not for me (90 kg male :)). Also I find the prices a bit expensive. The eggs in the picture cost 8 EUR.,4 years ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,Masood Noori,5,Got lucky and sat next to one of the owners who helped me order and translated. Great spot and the oat milk was superb. Thank you!,a year ago
Café Habitual,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,Maxim A. Ford,3,"Stars for fresh juice , coffee, atmosphere and service only.  Food was disappointing - eggs, various salads are instagrammable but just not tasty! ;( Lacking flavors, texture and freshness.",10 months ago
Coffee Selfie,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,Anora Wilson,5,Fun gimmicky spot perfect for instagrammers .. as you can have a picture of your face printed on your coffee for about a $1.50 extra. The coffee & pastries were delicious!! There’s additional seating on the second level but with limited space. Perfect for groups of 2-4. Loved the pastel de nata.,a year ago
Coffee Selfie,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,Terézia Lazarová,5,"Cute idea, never heard of anything similar before. You just send the picture through WhatsApp, choose a latte you want and let the Machine do its magic. It was done in few minutes and it is definitely a unique experience worth trying out!",8 months ago
Coffee Selfie,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,Worlds Open Book by Andresa Bedor,5,"I stumbled on this cozy coffee shop today. I tried their hazelnut cappuccino, and oh my lord, it was the best!!! Their pastries meet all high-end standards, and their sweet treats will bring joy to your soul. Coffee selfie has a welcoming staff, and their kindness will always be remembered. One of my favorite places in Liberdade!!!",2 months ago
