position,title,place_id,data_id,data_cid,rating,reviews,price,type,address,latitude,longitude,open_state,description,thumbnail
11,Chefia Restaurante,ChIJPbtiSutCzpQR4WiIK3qiKLQ,0x94ce42eb4a62bb3d:0xb428a27a2b8868e1,12981804571495524577,4.6,559.0,££,Buffet restaurant,"R. Alm. Protógenes, 300 - Jardim, Santo André - SP, 09090-760, Brazil",-23.6507548,-46.5356935,Open ⋅ Closes 2:30 pm,,https://lh5.googleusercontent.com/p/AF1QipNZjIeUaboNal5wcL8l5P731FDBf6lvgySqPGj5=w80-h106-k-no
12,Maddie Almoço,ChIJpYC5RvtEzpQRRVefGN9er4U,0x94ce44fb46b980a5:0x85af5edf189f5745,9633022440252593989,4.5,357.0,££,Buffet restaurant,"Av. Alda, 250 - Centro, Diadema - SP, 09910-170, Brazil",-23.6890678,-46.626255,Closed ⋅ Opens 11:30 am Mon,,https://lh5.googleusercontent.com/p/AF1QipNSvGrTSkFZ_sJ3Yb_UPS4EpqPKpY3z4fmzUFpe=w80-h142-k-no
13,SIRI CASCUDO LANCHONETE / ALMOÇO,ChIJB6QJqhdjzpQROmX0U_X9lJE,0x94ce6317aa09a407:0x9194fdf553f4653a,10490288662170068282,4.6,30.0,£,Hamburger restaurant,"R. Ângelo Caldini, 201 - bairro pimentas, Guarulhos - SP, 07262-210, Brazil",-23.473293,-46.397604,Closed ⋅ Opens 12 pm,,https://lh5.googleusercontent.com/p/AF1QipPmCOSBdRiCG1xxcup1z7sptHUUTIjMyJpadVge=w122-h92-k-no
14,Casinha Mineira,ChIJBZG1_cdZzpQR_7_BhnUnt0I,0x94ce59c7fdb59105:0x42b7277586c1bfff,4807354512966795263,4.5,1218.0,££,Minas Gerais restaurant,"R. São Carlos do Pinhal, 445 - Bela Vista, São Paulo - SP, 01333-000, Brazil",-23.5639423,-46.6517267,Closed ⋅ Opens 12 pm,"Home-style cooking in a cozy space. Traditional dishes & sides from Minas Gerais, plus juices & caipirinhas served in a rustic setting.",https://lh5.googleusercontent.com/p/AF1QipMv3DLPjoQe7KdJSvHxCgnkWIRjleuZ4izrEd9H=w137-h92-k-no
15,‍ Almoço Self-Service e marmitex delivery na Vila Andrade - Restaurante Catuti,ChIJN4Ij_CBRzpQRiYKM4302AnA,0x94ce5120fc238237:0x7002367de38c8289,8071073396517798537,4.4,65.0,,Restaurant,"R. Catuti, 125 - Vila Andrade, São Paulo - SP, 05729-120, Brazil",-23.6370954,-46.7375664,Open ⋅ Closes 3:30 pm,,https://lh5.googleusercontent.com/p/AF1QipNh9QCZBSXfnLoNCg14u52K6B63gBOj8BL9wfj2=w122-h92-k-no
16,O Comilão Restaurante,ChIJgTqzJ4xbzpQRdA-bOncMYYg,0x94ce5b8c27b33a81:0x88610c773a9b0f74,9827149568123015028,4.6,295.0,£,Brazilian restaurant,"R. Clemente Pereira, 558 - Ipiranga, São Paulo - SP, 04216-060, Brazil",-23.5981916,-46.5998505,Closed ⋅ Opens 11:30 am Mon,,https://lh5.googleusercontent.com/p/AF1QipNWqyOcJY5sBu4pqk83gUsB0dvLjOgDiZQTE_56=w163-h92-k-no
17,R&S Pastelaria E Lanchonete Servimos Almoço,ChIJMUjhG1ZFzpQRn4MX_kSIyv8,0x94ce45561be14831:0xffca8844fe17839f,18431694254869283743,4.5,20.0,,Restaurant,"R. David Eid, 1318 - Vila do Castelo, São Paulo - SP, 04438-000, Brazil",-23.6805972,-46.6701712,Open ⋅ Closes 6:01 am Sun,,https://lh5.googleusercontent.com/p/AF1QipP2Vu1qhzgQPTiaAZ0URJSlwE7065atGrCw_lM7=w80-h106-k-no
18,Restaurante,ChIJ-e59XBj4zpQRMFzTnkJHG_4,0x94cef8185c7deef9:0xfe1b47429ed35c30,18310307061462948912,4.8,13.0,,Buffet restaurant,"R. Isabel de Siqueira Barros, 197a - Limão, São Paulo - SP, 02712-080, Brazil",-23.507678,-46.6783264,Open ⋅ Closes 2 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZjpTncC8sPZ6EAKKrvwauw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=269.00424&pitch=0&thumbfov=100
19,"Espaço Da Marmita (Não fornecemos almoço, somente esquentamos marmitas)",ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,0x94ce595170ea14d1:0x46a79a5cdcff9871,5091207627401042033,4.6,34.0,£,Restaurant,"R. Carlos Sampaio, 331 - 1° Andar - Bela Vista, São Paulo - SP, 01333-021, Brazil",-23.5684814,-46.6466803,Closed ⋅ Opens 11:30 am Mon,,https://lh5.googleusercontent.com/p/AF1QipOzs_sjICsR3l1_7r8H4y6dYOGNENcFIKfnOslj=w101-h92-k-no
20,Sala de Almoço,ChIJX8ws5c1XzpQRjTHVEpKm0w4,0x94ce57cde52ccc5f:0xed3a69212d5318d,1068380682928337293,4.2,326.0,££,Restaurant,"Rua Professor Túlio Ascarelli, 239 - Vila Madalena, São Paulo - SP, 05451-110, Brazil",-23.5444449,-46.704857,Open ⋅ Closes 3 pm,,https://lh5.googleusercontent.com/p/AF1QipOI9ZoYzO5eowsza0JSJjHPzDE10Pf8P2Y6DJHk=w122-h92-k-no
1,Restaurante Jardim Leopoldina,ChIJn9lQq7j4zpQR0TGn2VJtbZI,0x94cef8b8ab50d99f:0x926d6d52d9a731d1,10551209704605299153,4.5,1048.0,$$,Buffet restaurant,"R. Mergenthaler, 41 - Vila Leopoldina, São Paulo - SP, 05311-030, Brazil",-23.525438,-46.73329,Opens soon ⋅ 11:30 AM,,https://lh5.googleusercontent.com/p/AF1QipPoB_IXffa8KvXzDLZ3VEGKGke1qkrH2_z6rtKk=w80-h106-k-no
3,Restaurante Casa do Almoço,ChIJbZwKSCVczpQRZru-QWsVw0w,0x94ce5c25480a9c6d:0x4cc3156b41bebb66,5531288317749803878,4.2,54.0,$,Restaurant,"Rua Dr. Gabriel de Resende, 101 - Vila Diva (Zona Leste), São Paulo - SP, 03350-000, Brazil",-23.5713206,-46.5655256,Open ⋅ Closes 8 PM,,https://lh5.googleusercontent.com/p/AF1QipOK4qc2Kf7Ea4Jog0NKhLNcgWCVxt3b-macPda6=w174-h92-k-no
4,"Restaurante Villa Nostra, Almoço por Quilo e Pizzaria.",ChIJMbprTSD2zpQRrvfjwoKDOug,0x94cef6204d6bba31:0xe83a8382c2e3f7ae,16733831963087206318,4.2,2488.0,$$,Buffet restaurant,"Av. Gen. Ataliba Leonel, 1531 - Santana, São Paulo - SP, 02068-040, Brazil",-23.5007275,-46.6145002,Opens soon ⋅ 11:30 AM,,https://lh5.googleusercontent.com/p/AF1QipON_l-A2mC-FcIL1dauekBGIxUE0to_H_cc4muy=w122-h92-k-no
5,Rlpm Almoço,ChIJnStRD_9hzpQRdtkReGnmBz8,0x94ce61ff0f512b9d:0x3f07e6697811d976,4541852089886824822,4.5,10.0,,Restaurant,"R. Caracaru, 773 - Jardim Cumbica, Guarulhos - SP, 07240-110, Brazil",-23.4458026,-46.4410883,Open ⋅ Closes 1:30 PM,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UyaRDpsgViTZsupw_oGX8w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.75607&pitch=0&thumbfov=100
6,Restaurante & Cervejaria Urbano's,ChIJ-YH8OD-VpgAR90cCB_MtKWw,0xa6953f38fc81f9:0x6c292df3070247f7,7793811151959246839,4.4,3825.0,$$,Buffet restaurant,"R. Joaquim José, 1080 - Fonte Grande, Contagem - MG, 32013-390, Brazil",-19.9242164,-44.0816372,Open ⋅ Closes 4 PM,"Relaxed venue serving steak & rice meals. Informal restaurant offering homestyle classics, including hearty steak & rice dishes.",https://lh5.googleusercontent.com/p/AF1QipPdxGaOnZiXL_iL_UHWAtWN9-ztsSmw3pKNwa4t=w92-h92-k-no
7,Ripito,ChIJlU0P1eFXzpQRmBB7JycdaS0,0x94ce57e1d50f4d95:0x2d691d27277b1098,3272178658264682648,4.8,101.0,,Restaurant,"R. Fradique Coutinho, 312 - Pinheiros, São Paulo - SP, 05416-000, Brazil",-23.5637761,-46.6857913,Open ⋅ Closes 8 PM,,https://lh5.googleusercontent.com/p/AF1QipOdvHbt5gJ3p7r00sbsRgDGIx_rvM6vpk6T4V2C=w92-h92-k-no
8,"Bar e Restaurante do Zé - Almoço, lanches e salgados.",ChIJYfVR4q5DzpQRjldVrVqANx8,0x94ce43aee251f561:0x1f37805aad55578e,2249407665838315406,4.5,437.0,$,Restaurant,"R. Vicente de Carvalho, 666 / 670 - Anchieta, São Bernardo do Campo - SP, 09732-600, Brazil",-23.6817215,-46.5618801,Open ⋅ Closes 11 PM,,https://lh5.googleusercontent.com/p/AF1QipPU-jScKdVAjaHYtl9u2Hop6d4v3H9guHqtLcAT=w91-h92-k-no
9,Quinta da Canta,ChIJI4UI6ErwzpQR2jnYNoniTWI,0x94cef04ae8088523:0x624de28936d839da,7083566867882195418,4.7,108.0,$$,Restaurant,"Alameda Bélgica, 325 - Zona Rural, Mairiporã - SP, 07619-128, Brazil",-23.3787327,-46.632779,Closed ⋅ Opens 1 PM,,https://lh5.googleusercontent.com/p/AF1QipOiA_3QF52JrXbiD4k0rYwkfAhKREtAptU8Y10l=w80-h106-k-no
10,Villa Dos Sabores,ChIJFxNU0IZZzpQR49BAjns6ZBU,0x94ce5986d0541317:0x15643a7b8e40d0e3,1541421274809553123,4.4,405.0,$$,Restaurant,"Rua Vergueiro, 2309 - Vila Mariana, São Paulo - SP, 04009-002, Brazil",-23.5820421,-46.6377326,Opens soon ⋅ 11:20 AM,,https://lh5.googleusercontent.com/p/AF1QipPU2iTdP4E5RVj3kcbyVRd0rcUYdikWyyrs3Ohc=w122-h92-k-no
11,Restaurante Os Barreto,ChIJz0I8YWkfzpQRLNGCHFYeJ0k,0x94ce1f69613c42cf:0x49271e561c82d12c,5271215244054810924,4.5,670.0,$$,Restaurant,"Av. Pres. Castelo Branco, 6814 - Vila Tupi, Praia Grande - SP, 11703-650, Brazil",-24.0261738,-46.4652682,Open ⋅ Closes 12 AM,,https://lh5.googleusercontent.com/p/AF1QipPepiM0mr-WqceGPJxEe2p3tnUCsvBbbdMrDUZi=w91-h92-k-no
12,Dona Ju Restaurante,ChIJtQZkg3BWzpQRkq2tRxqTX6M,0x94ce5670836406b5:0xa35f931a47adad92,11772289692050763154,4.1,515.0,$,Buffet restaurant,"R. Frei Inácio da Conceição, 266 - Butantã, São Paulo - SP, 05362-040, Brazil",-23.5714822,-46.7427018,Open ⋅ Closes 3 PM,"Homemade food in an informal setting. Easygoing outpost for home-cooked food, including salads, Brazilian dishes & pasta.",https://lh5.googleusercontent.com/p/AF1QipO3tnWgO5qApiJg_17vYAOw-qGUXJrdbrNb1zHg=w122-h92-k-no
13,Bam food almoço e Marmitex delivery somente pelo ifood,ChIJTUgua3pxVwERdY5FAjUf158,0x157717a6b2e484d:0x9fd71f3502458e75,11517708884555173493,4.4,28.0,,Restaurant,"Av. São José, 151 - Ayrosa, Osasco - SP, 06283-120, Brazil",-23.5177585,-46.7730938,Open ⋅ Closes 3 PM,,https://lh5.googleusercontent.com/p/AF1QipPLLh_qAQ0Xht_vcU7EUZJ4wbfkVUaDW32iIJMd=w163-h92-k-no
14,Restaurante Mister Chef Almoço E Marmitex,ChIJkygLLsHmzpQRqHanmJ8HlfY,0x94cee6c12e0b2893:0xf695079f98a776a8,17768116286902466216,4.7,16.0,,Restaurant,"Av. Ulisses Guimarães, 1169 - Jardim Rosas, Francisco Morato - SP, 07980-070, Brazil",-23.29253,-46.7330519,Open ⋅ Closes 3 PM,,https://lh5.googleusercontent.com/p/AF1QipOKm8R9o1Y7Ei7M-3Ia-_fThMkA0o7D2880acD2=w82-h92-k-no
15,Cór,ChIJq1cGjSxWzpQRqNuO9_rieo4,0x94ce562c8d0657ab:0x8e7ae2faf78edba8,10266767868067503016,4.4,1140.0,$$$,Restaurant,"Praça São Marcos, 825 - Alto de Pinheiros, São Paulo - SP, 05455-050, Brazil",-23.5425283,-46.7110187,Closed ⋅ Opens 12 PM,"Refined plates served in a posh eatery. Elegant restaurant featuring high-end recipes & outdoor seating in a lush, garden setting.",https://lh5.googleusercontent.com/p/AF1QipPbqqbhZs-IwLtZ40KNy1uodS-YR9tqdfdmSe4k=w80-h106-k-no
16,Farfalla Restaurante e Pizzaria - Jardins,ChIJi31f_9pZzpQRLuEytX9Uq7o,0x94ce59daff5f7d8b:0xbaab547fb532e12e,13450937619549708590,4.5,604.0,$$,Restaurant,"R. Pres. Prudente, 117 - Jardim Paulista, São Paulo - SP, 01408-030, Brazil",-23.5699702,-46.6633365,Closed ⋅ Opens 12 PM,"High-end French-Italian cuisine. A charming, spacious, upscale eatery with a varied menu & a lunch buffet.",https://lh5.googleusercontent.com/p/AF1QipMUh2CiCx3YjfN_O7UZhkLzVgo5xoTKzUeMRexw=w122-h92-k-no
17,Almoço Por Kilo,ChIJc316FAdYzpQRPaRlbHRhKWA,0x94ce5807147a7d73:0x602961746c65a43d,6929176654348919869,3.9,16.0,,Buffet restaurant,"Av. Marquês de São Vicente, 446 - Várzea da Barra Funda, São Paulo - SP, 01139-000, Brazil",-23.5215749,-46.6641253,Closed ⋅ Opens 11 AM Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eZorVYKPzHOcxoqPtqjIIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=10.641345&pitch=0&thumbfov=100
18,Restaurante e Pizzaria Santa Rita,ChIJ1T9G27EDzpQRvzc0iNV1YMs,0x94ce03b1db463fd5:0xcb6075d5883437bf,14654842747437201343,4.6,2596.0,$$,Pizza restaurant,"Av. Sen. Dantas, 344 - Estuário, Santos - SP, 11015-210, Brazil",-23.9623821,-46.3140422,Open ⋅ Closes 12 AM,,https://lh5.googleusercontent.com/p/AF1QipP4-Zy2DAlYkw7yyyy8LTMxFd8GASe3a0IGH0ZU=w122-h92-k-no
19,Ôchopp - Almoço e Happy Hour,ChIJVz438PpazpQRtawF8m-OgX4,0x94ce5afaf0373e57:0x7e818e6ff205acb5,9115723732227566773,4.3,1656.0,$$,Brazilian restaurant,"R. Guatapara, 191 - Vila Guarani, São Paulo - SP, 04310-040, Brazil",-23.6341098,-46.6405368,Opens soon ⋅ 11:30 AM,"Self-service restaurant with varied fare. Buffet restaurant offering salads, hot dishes & beer in a simple setting with a big screen TV.",https://lh5.googleusercontent.com/p/AF1QipN-LzAcdaFhKGiTq-ifWz5dfVfcYsprLR8NCCtw=w122-h92-k-no
20,Restaurante Mari Mariá,ChIJ_w4v8VRYzpQRgI85TJUcStk,0x94ce5854f12f0eff:0xd94a1c954c398f80,15657358482061496192,4.3,895.0,,Restaurant,"conj 11 primeiro andar, Largo do Café, 14 - Centro Histórico de São Paulo, São Paulo - SP, 01012-030, Brazil",-23.5462318,-46.6351014,Closed ⋅ Opens 11 AM Mon,,https://lh5.googleusercontent.com/p/AF1QipOOqgRF05f-1Ur96d_yV0_SXKk70DClnJAZmYil=w80-h106-k-no
4,Pratos Tipicos do Brasil,ChIJs2-yL2NnzpQRMLioobsX5vo,0x94ce67632fb26fb3:0xfae617bba1a8b830,18079163848763947056,4.7,17.0,,Brazilian restaurant,"R. Ângelo Arloti, 53 - Cidade Líder, São Paulo - SP, 08280-640, Brazil",-23.5598582,-46.4814057,Open ⋅ Closes 11 pm,,https://lh5.googleusercontent.com/p/AF1QipPaie4ALr-5o4JcIL8JqK6APM2E5ohiNCz8JqjR=w92-h92-k-no
6,Julieta Restaurante,ChIJU2L0_CeAmQARO9eDslr1KZY,0x998027fcf46253:0x9629f55ab283d73b,10820449349625173819,4.7,2065.0,£££,Restaurant,"Praia do Flamengo, 340 - primeiro Andar - Flamengo, Rio de Janeiro - RJ, 22210-065, Brazil",-22.9363915,-43.1744513,Closed ⋅ Opens 12 pm,"Classic French haute cuisine. A cozy, opulent French eatery with classic décor & an extensive, sophisticated gourmet menu.",https://lh5.googleusercontent.com/p/AF1QipMeZtnP4aqVY88pwd04ffmMxgEcbqVLQYmjwosR=w80-h106-k-no
10,Desejo de Café,ChIJgZKK_Z1QzpQRAyss_2bhefo,0x94ce509dfd8a9281:0xfa79e166ff2c2b03,18048704814147971843,4.6,718.0,££,Restaurant,"R. Vieira de Morais, 1183 - Campo Belo, São Paulo - SP, 04617-014, Brazil",-23.6227146,-46.6708904,Open ⋅ Closes 3 pm ⋅ Reopens 6 pm,"Lunch specials in a café & pastry store. A laid-back, informal spot for cakes, specialty coffee & lunch specials.",https://lh5.googleusercontent.com/p/AF1QipNDIH_Ma_jnOaIAbKw5NIUOPMPMUIjBlE62zueR=w122-h92-k-no
11,Lanchonete Aconchego,ChIJEZNDqqVRzpQR9MyfB8-jNuI,0x94ce51a5aa439311:0xe236a3cf079fccf4,16300396010895559924,4.3,41.0,,Snack bar,"R. América Central, 301 - Santo Amaro, São Paulo - SP, 04755-010, Brazil",-23.6467513,-46.711398,Open 24 hours,,https://lh5.googleusercontent.com/p/AF1QipNM_Gr9ihgQXl5yKVPjbwguT4VhXpAl47F3LtRs=w122-h92-k-no
12,Cantinho da Cecília,ChIJ2RJETEdYzpQRPAQA0rUzgsM,0x94ce58474c4412d9:0xc38233b5d200043c,14087879440373646396,4.3,2682.0,££,Pizza restaurant,"Rua Dona Veridiana, 14 - Vila Buarque, São Paulo - SP, 01238-010, Brazil",-23.5396833,-46.6504932,Open ⋅ Closes 1 am,"Simple & cozy restaurant. Varied buffet of salads & hot dishes at lunch, with soups & pizzas at night.",https://lh5.googleusercontent.com/p/AF1QipOZFaOB5_h6xqG1UXKFJYf0N-a2flKWhReGlP4F=w122-h92-k-no
13,Fuego Celeste,ChIJrUD15R5bzpQR8_hwSxB5aCM,0x94ce5b1ee5f540ad:0x236879104b70f8f3,2551422299797518579,4.8,560.0,,Uruguayan restaurant,"Av. Jacutinga, 365 - Indianópolis, São Paulo - SP, 04515-030, Brazil",-23.6020203,-46.6667331,Closed ⋅ Opens 12 pm,,https://lh5.googleusercontent.com/p/AF1QipP1C9TPVHhgdzJnXa5YBnf2RxBESzh5erXstjZN=w80-h142-k-no
14,Cantinho Da Val Lanches & Almoço,ChIJU85wPq7-zpQRAz13sT3bkXw,0x94cefeae3e70ce53:0x7c91db3db1773d03,8976196590342978819,4.0,2.0,,Restaurant,"R. Jurubim, 927 - Vila Boacava, São Paulo - SP, 05170-100, Brazil",-23.4835872,-46.7540043,Open ⋅ Closes 2 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MDScrBviZ3gtKHfShrxxWQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.23515&pitch=0&thumbfov=100
15,Abbraccio Cucina Italiana,ChIJly3wj0hXzpQRuUtgMoo298A,0x94ce57488ff02d97:0xc0f7368a32604bb9,13904642341708254137,4.5,2700.0,£££,Italian restaurant,"R. Olimpíadas, 360 Shopping - Térreo - Loja 123/124 - Vila Olímpia, São Paulo - SP, 04551-000, Brazil",-23.595596,-46.6866818,Closed ⋅ Opens 12 pm,Italian food in a refined setting. Upscale Italian restaurant with wine list specializing in ravioli stuffed with lobster cream.,https://lh5.googleusercontent.com/p/AF1QipPH8hKSVDVTVK0V0i6yrUhdeZamvgy3SwMs5UI=w122-h92-k-no
16,Restaurante da Cuca,ChIJq9ukJ6RZzpQRaysBdwigZUM,0x94ce59a427a4dbab:0x4365a00877012b6b,4856463731405695851,4.1,19.0,£,Restaurant,"R. São Joaquim, 191 - Liberdade, São Paulo - SP, 01508-001, Brazil",-23.561638,-46.6368481,Open ⋅ Closes 12 am,,https://lh5.googleusercontent.com/p/AF1QipODKBmRDZ36oqVrCpD2uQUumpn4dXTBkXd4X6Ug=w80-h122-k-no
17,Violeta Bar e Restaurante,ChIJlTfyNjNYzpQR-GqbbXf3QLc,0x94ce583336f23795:0xb740f7776d9b6af8,13204826199762365176,4.3,7972.0,££,Brazilian restaurant,"R. Augusta, 1343 - Consolação, São Paulo - SP, 01305-100, Brazil",-23.5557678,-46.6574468,Open ⋅ Closes 3 am,"Large space for drinks & Brazilian fare. Expansive, airy setting for cocktails & beers, plus burgers, steaks & Brazilian dishes.",https://lh5.googleusercontent.com/p/AF1QipOXT_iSD0Ph18syP7toX4c1rURUIzqsBTPqkQo=w80-h106-k-no
18,Almoço e Feijoada da Mama,ChIJ_VPJGbxTzpQRKc397kmaRPc,0x94ce53bc19c953fd:0xf7449a49eefdcd29,17817535668117425449,4.2,19.0,,Restaurant,"R. Chico Mendes, 105 - Jardim Margarida, Taboão da Serra - SP, 06786-080, Brazil",-23.6275555,-46.8124232,Open ⋅ Closes 4 pm,,https://lh5.googleusercontent.com/p/AF1QipNakiULdNUXv6HZ5sPuu9Wh50jIYyOT6AJcQK97=w122-h92-k-no
19,C&A Café E Almoço,ChIJjbffWgRGzpQRf2F0o_XBXwM,0x94ce46045adfb78d:0x35fc1f5a374617f,243126165654757759,4.1,12.0,,Restaurant,"Estrada Ligação, 74 - Jardim Monte Verde, São Paulo - SP, 04851-501, Brazil",-23.755743,-46.6640823,Open ⋅ Closes 6 pm,,https://lh5.googleusercontent.com/p/AF1QipMAdQspCfZBBzE06dWMeFkRpsE4zUvjItgcrBYH=w163-h92-k-no
20,Lanchonete Anchieta,ChIJHwiD1VBYzpQRl1Hj2kZBJu0,0x94ce5850d583081f:0xed264146dae35197,17088417608679772567,4.3,1068.0,££,Snack bar,"R. Antônio de Godói, 128 - Centro Histórico de São Paulo, São Paulo - SP, 01031-001, Brazil",-23.5418307,-46.6369991,Open ⋅ Closes 10 pm,,https://lh5.googleusercontent.com/p/AF1QipOnm83DaGNwDZjgBxrPlzQHiaC37DvHK3iOdA88=w122-h92-k-no
1,Restaurante Famiglia Di Nóca,ChIJ7Ye24uRXzpQRU9LExQl_5GM,0x94ce57e4e2b687ed:0x63e47f09c5c4d253,7198017784394338899,4.6,524.0,$$,Restaurant,"Rua Desembargador do Vale, 50 - Perdizes, São Paulo - SP, 05010-040, Brazil",-23.5334723,-46.6820297,Opens soon ⋅ 11:30 AM,A family-friendly spot for homemade food. Weigh & pay restaurant serving traditional homemade dishes in a family-friendly setting.,https://lh5.googleusercontent.com/p/AF1QipNyFD5Bif5t46wNrMHFW6Fa06VcRcJEC9LM9vQE=w82-h92-k-no
