,title,place_id,user_reviews(summary),time_spent
23,Starbucks,ChIJmX-KsMdZzpQRmeJKTyPsVFQ,"{'snippet': ""'Lovely place, food is fine, price is outrageous.'""}",People typically spend 20 min to 1.5 hr here
24,89ºC Coffee Station,ChIJxbXNHalZzpQRYb-PzJ3bbTQ,"{'snippet': ""'Very cool location with crazy good Japanese and Brazilian pastries.'""}",People typically spend 30 min to 1.5 hr here
25,89ºC Coffee Station,ChIJxbXNHalZzpQRYb-PzJ3bbTQ,"{'snippet': ""'High quality food and drinks alongside efficient and professional service.'""}",People typically spend 30 min to 1.5 hr here
26,89ºC Coffee Station,ChIJxbXNHalZzpQRYb-PzJ3bbTQ,"{'snippet': ""'Apart of that, there is an interesting selection of sweets, pies and so on.'""}",People typically spend 30 min to 1.5 hr here
27,"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",ChIJgX_VHYNXzpQRBVLomhGDEjk,"{'snippet': ""'It seems high quality at a low price is not impossible!'""}",People typically spend 20 min to 1 hr here
28,"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",ChIJgX_VHYNXzpQRBVLomhGDEjk,"{'snippet': ""'Great little place to get a coffee and have it on the street'""}",People typically spend 20 min to 1 hr here
29,"the little coffee shop . CAFÉ ESPECIAL & CURSOS . Delivery/retiradas agendadas, e workshop online p/ quem quer empreender.",ChIJgX_VHYNXzpQRBVLomhGDEjk,"{'snippet': ""'Best iced cappuccino!'""}",People typically spend 20 min to 1 hr here
30,YERBA + Por um Punhado de Dólares,ChIJYdxZ6Z1XzpQRF6a4w5mWwzg,"{'snippet': ""'Nice cafe with books on the shelves and good music, food and coffees and teas.'""}",People typically spend 20 min to 1.5 hr here
31,YERBA + Por um Punhado de Dólares,ChIJYdxZ6Z1XzpQRF6a4w5mWwzg,"{'snippet': ""'Drinks and coffee are from good quality.'""}",People typically spend 20 min to 1.5 hr here
32,YERBA + Por um Punhado de Dólares,ChIJYdxZ6Z1XzpQRF6a4w5mWwzg,"{'snippet': ""'The place is great - high ceiling, wide - is extremely comfy.'""}",People typically spend 20 min to 1.5 hr here
33,José Café,ChIJiY8sb6tZzpQRi2tTGcxxWUQ,"{'snippet': ""'Well-spaced place with very pleasant music and ambience.'""}",People typically spend 25 min to 1 hr here
34,José Café,ChIJiY8sb6tZzpQRi2tTGcxxWUQ,"{'snippet': ""'Tasty daily specials.'""}",People typically spend 25 min to 1 hr here
35,José Café,ChIJiY8sb6tZzpQRi2tTGcxxWUQ,"{'snippet': ""'The breakfast was quite delicious really.'""}",People typically spend 25 min to 1 hr here
36,Soul Café SP,ChIJ69RYLM1ZzpQRW4_egxbaB-4,"{'snippet': ""'Really really good coffee, great food and especially nice service!'""}",People typically spend 30 min here
37,Soul Café SP,ChIJ69RYLM1ZzpQRW4_egxbaB-4,"{'snippet': ""'They offer a few pastries and chocolate bars.'""}",People typically spend 30 min here
38,Soul Café SP,ChIJ69RYLM1ZzpQRW4_egxbaB-4,"{'snippet': ""'The beef and chicken/cheese empañadas were awesome, too.'""}",People typically spend 30 min here
39,Perseu Coffee House,ChIJvfGnYkpZzpQRFVEXt3teQaE,"{'snippet': ""'Cozy environment and good staff service.'""}",People typically spend 45 min to 2 hr here
40,Perseu Coffee House,ChIJvfGnYkpZzpQRFVEXt3teQaE,"{'snippet': ""'Sometimes the music is very loud , but the place, food and beverages are good!'""}",People typically spend 45 min to 2 hr here
41,Perseu Coffee House,ChIJvfGnYkpZzpQRFVEXt3teQaE,"{'snippet': ""'They serve a variety of coffees, brunch options and other drinks.'""}",People typically spend 45 min to 2 hr here
42,"IL BARISTA CAFÉS ESPECIAIS | VILA NOVA : Casa, Torrefação e Escola do Café",ChIJuWhPG1pXzpQR8RbxXQSSEFk,"{'snippet': ""'Wide choice of coffee and great service!'""}",People typically spend 25 min to 1 hr here
43,"IL BARISTA CAFÉS ESPECIAIS | VILA NOVA : Casa, Torrefação e Escola do Café",ChIJuWhPG1pXzpQR8RbxXQSSEFk,"{'snippet': ""'Cozy atmosphere and friendly staff.'""}",People typically spend 25 min to 1 hr here
44,"IL BARISTA CAFÉS ESPECIAIS | VILA NOVA : Casa, Torrefação e Escola do Café",ChIJuWhPG1pXzpQR8RbxXQSSEFk,"{'snippet': ""'I came here on a Sunday afternoon with a friend for breakfast.'""}",People typically spend 25 min to 1 hr here
45,Fora da Lei Café,ChIJg43TZcdZzpQRC0qMKnP2cHI,"{'snippet': ""'Great coffee and great service!'""}",People typically spend 25 min to 1 hr here
46,Fora da Lei Café,ChIJg43TZcdZzpQRC0qMKnP2cHI,"{'snippet': ""'Lovely cafe in Sao Paulo, great casual atmosphere, on point coffee brewing.'""}",People typically spend 25 min to 1 hr here
47,Fora da Lei Café,ChIJg43TZcdZzpQRC0qMKnP2cHI,"{'snippet': ""'I love this place and I love the people that own it.'""}",People typically spend 25 min to 1 hr here
48,SOW Cake Lounge,ChIJc7C0To9ZzpQRxI8xZGKRSRM,"{'snippet': ""'My chocolate cake was moist and iced lemon tea was alright.'""}",People typically spend 25 min to 1.5 hr here
49,SOW Cake Lounge,ChIJc7C0To9ZzpQRxI8xZGKRSRM,"{'snippet': ""'Nice cafe that offers a great variety of cakes and pies.'""}",People typically spend 25 min to 1.5 hr here
50,SOW Cake Lounge,ChIJc7C0To9ZzpQRxI8xZGKRSRM,"{'snippet': ""'A bit expensive, but the ambience and food are great'""}",People typically spend 25 min to 1.5 hr here
51,Haddock Lobo Cheese Bread,ChIJb9PbONRZzpQRf_YPoWL5owM,"{'snippet': ""'And the cappuccino made with a great coffee bean from Santa Monica farm.'""}",People typically spend 15 min here
52,Haddock Lobo Cheese Bread,ChIJb9PbONRZzpQRf_YPoWL5owM,"{'snippet': ""'The Pao de Queijo is Crispy,delicious!'""}",People typically spend 15 min here
53,Haddock Lobo Cheese Bread,ChIJb9PbONRZzpQRf_YPoWL5owM,"{'snippet': ""'Since 1968 this has been a local institution.'""}",People typically spend 15 min here
54,We Coffee,ChIJ_xdQF7pZzpQRnACNEIz2e4U,"{'snippet': ""'Flat white is more cappuccino than flat white, but still good'""}",People typically spend 25 min to 1.5 hr here
55,We Coffee,ChIJ_xdQF7pZzpQRnACNEIz2e4U,"{'snippet': ""'Food is great but the service is terrible.'""}",People typically spend 25 min to 1.5 hr here
56,We Coffee,ChIJ_xdQF7pZzpQRnACNEIz2e4U,"{'snippet': ""'Coffee was delicious and pastries were lovely.'""}",People typically spend 25 min to 1.5 hr here
57,Takkø Café - Vila Buarque,ChIJ3wXQWEhYzpQRO5vsLY5ihrs,"{'snippet': ""'The best coffee, the best food, the best service.'""}",People typically spend 25 min to 1 hr here
58,Takkø Café - Vila Buarque,ChIJ3wXQWEhYzpQRO5vsLY5ihrs,"{'snippet': ""'Cool coffee shop, chill vibe, friendly staff.'""}",People typically spend 25 min to 1 hr here
59,Takkø Café - Vila Buarque,ChIJ3wXQWEhYzpQRO5vsLY5ihrs,"{'snippet': ""'Quality coffee, nica cookies and cheese bread'""}",People typically spend 25 min to 1 hr here
60,Domênica Cafeteria,ChIJp_AxXYRZzpQRGOHFzd-fvxo,"{'snippet': ""'Good cappuccino, good food, plenty of healthy and vegetarian options.'""}",People typically spend 25 min to 1.5 hr here
61,Domênica Cafeteria,ChIJp_AxXYRZzpQRGOHFzd-fvxo,"{'snippet': ""'Nice place, clean, with a lot of energy points!'""}",People typically spend 25 min to 1.5 hr here
62,Domênica Cafeteria,ChIJp_AxXYRZzpQRGOHFzd-fvxo,"{'snippet': ""'Also good for lunch and breakfast.'""}",People typically spend 25 min to 1.5 hr here
63,Astronauta Café,ChIJE7fGPjVZzpQRNXepU-U81EE,"{'snippet': ""'Sells coffee beans and supplies to make your coffee at home.'""}",People typically spend 30 min to 1.5 hr here
64,Astronauta Café,ChIJE7fGPjVZzpQRNXepU-U81EE,"{'snippet': ""'This means you will have to eat holding your food and cup/glass.'""}",People typically spend 30 min to 1.5 hr here
65,Astronauta Café,ChIJE7fGPjVZzpQRNXepU-U81EE,"{'snippet': ""'Best coffee shop in the neighborhood.'""}",People typically spend 30 min to 1.5 hr here
66,Clemente Café,ChIJySdhty9azpQRC4ymzQX8c3Q,"{'snippet': ""'They make a very tasty espresso and have a very cute little spot.'""}",People typically spend 15-45 min here
67,Clemente Café,ChIJySdhty9azpQRC4ymzQX8c3Q,"{'snippet': ""'Great small coffee shop.'""}",People typically spend 15-45 min here
68,Clemente Café,ChIJySdhty9azpQRC4ymzQX8c3Q,"{'snippet': ""'Great customer service'""}",People typically spend 15-45 min here
69,Fran's Café,ChIJaQN1eIVZzpQReUH_vgfkp7g,"{'snippet': ""'Good service, all look clean and good, also the toilets. .'""}",People typically spend 30 min to 1.5 hr here
70,Fran's Café,ChIJaQN1eIVZzpQReUH_vgfkp7g,"{'snippet': ""'A great place for coffee and snacks'""}",People typically spend 30 min to 1.5 hr here
71,Fran's Café,ChIJaQN1eIVZzpQReUH_vgfkp7g,"{'snippet': ""'Gentle people, good menu'""}",People typically spend 30 min to 1.5 hr here
72,Magg Café Copan,ChIJ99SAg05YzpQRbpPmmFrnhLk,"{'snippet': ""'—> Coffee with milk Value for money —> Good Nice ambiente/deco?'""}",People typically spend 25 min to 1 hr here
73,Magg Café Copan,ChIJ99SAg05YzpQRbpPmmFrnhLk,"{'snippet': ""'Loved this little coffee shop.'""}",People typically spend 25 min to 1 hr here
74,Giramondo Caffè,ChIJVYYHB1JYzpQRYDo8PMx2tOY,"{'snippet': ""'Perfect for a quick lunch and a traditional italian espresso.'""}",People typically spend 20 min here
75,Giramondo Caffè,ChIJVYYHB1JYzpQRYDo8PMx2tOY,"{'snippet': ""'I love one with latte call Bianca which means more latte than coffe ☕'""}",People typically spend 20 min here
76,Um Coffee Co.,ChIJ9VPqh1xXzpQRgK7bLfSTbQ0,"{'snippet': ""'The staff are super friendly and the owners are just absolutely amazing.'""}",People typically spend 20 min to 1 hr here
77,Um Coffee Co.,ChIJ9VPqh1xXzpQRgK7bLfSTbQ0,"{'snippet': '\'Freshly roasted beans grown on the family""s own farm.\''}",People typically spend 20 min to 1 hr here
78,Um Coffee Co.,ChIJ9VPqh1xXzpQRgK7bLfSTbQ0,"{'snippet': ""'Trendy, with some design but not a cozy place.'""}",People typically spend 20 min to 1 hr here
79,Café Mestiço,ChIJKVnO275ZzpQRx7YyPPJdmNY,"{'snippet': ""'A bit crowded, but staff was able to deliver a good service.'""}",People typically spend 45 min to 2 hr here
80,Café Mestiço,ChIJKVnO275ZzpQRx7YyPPJdmNY,"{'snippet': ""'Ideal for a relaxing break to have a coffee and snack.'""}",People typically spend 45 min to 2 hr here
81,HM Food Café,ChIJL6zyR6ZXzpQRAOwaP8ksrPQ,"{'snippet': ""'Fast, free internet and lots of space = great place to work.'""}",People typically spend 1-2.5 hours here
82,HM Food Café,ChIJL6zyR6ZXzpQRAOwaP8ksrPQ,"{'snippet': ""'Great coffee and friendly staff, I recommend saturday brunch.'""}",People typically spend 1-2.5 hours here
83,HM Food Café,ChIJL6zyR6ZXzpQRAOwaP8ksrPQ,"{'snippet': ""'The most tasteful brunch in Pinheiros, very well served for the price!'""}",People typically spend 1-2.5 hours here
84,My Baker,ChIJ_RL4ZmdXzpQRTVjvYd56_kM,"{'snippet': ""'Excellent service, cosy environment good foods, juices and tasty coffee.'""}",People typically spend 15 min to 1 hr here
85,My Baker,ChIJ_RL4ZmdXzpQRTVjvYd56_kM,"{'snippet': ""'Great place to eat a salad or a burger!'""}",People typically spend 15 min to 1 hr here
86,My Baker,ChIJ_RL4ZmdXzpQRTVjvYd56_kM,"{'snippet': ""'I ordered to take away and after pay I saw that was counted a service fee.'""}",People typically spend 15 min to 1 hr here
87,Ofner - Itaim,ChIJJWX0yWdXzpQRAoSJuBGp6gg,"{'snippet': ""'Like always the best place for delicious , fresh, sweety and salty small meals'""}",People typically spend 15 min to 1 hr here
88,Ofner - Itaim,ChIJJWX0yWdXzpQRAoSJuBGp6gg,"{'snippet': ""'Sweets, ice cream, coffee and other goodies 24 hours.'""}",People typically spend 15 min to 1 hr here
89,Ofner - Itaim,ChIJJWX0yWdXzpQRAoSJuBGp6gg,"{'snippet': ""'Good service, price quite high.'""}",People typically spend 15 min to 1 hr here
90,Ofner,ChIJDX3YdcRZzpQRBcLG7L16b8k,"{'snippet': ""'Nice place for ice cream, cakes and coffee!'""}",People typically spend 15-45 min here
91,Ofner,ChIJDX3YdcRZzpQRBcLG7L16b8k,"{'snippet': ""'This place has delicious food and a lovely atmosphere.'""}",People typically spend 15-45 min here
92,Ofner,ChIJDX3YdcRZzpQRBcLG7L16b8k,"{'snippet': ""'Good quality products and services.'""}",People typically spend 15-45 min here
93,Café Creme,ChIJ6xejhLhZzpQRakp7TIMvY5k,"{'snippet': ""'Waiter was a sleeping pill, but the food tasted good and was reasonably priced.'""}",People typically spend 45 min to 2.5 hr here
94,Café Creme,ChIJ6xejhLhZzpQRakp7TIMvY5k,"{'snippet': ""'Wonderful coffee place and family restaurant'""}",People typically spend 45 min to 2.5 hr here
95,Café Creme,ChIJ6xejhLhZzpQRakp7TIMvY5k,"{'snippet': ""'There are pastas, meats, and sandwiches on the menu too.'""}",People typically spend 45 min to 2.5 hr here
96,Caffé Ristoro,ChIJW8QqIJZZzpQRKY_ev0XC6io,"{'snippet': ""'Nice place, good food and great view to the roses.'""}",People typically spend 45 min to 2 hr here
97,Caffé Ristoro,ChIJW8QqIJZZzpQRKY_ev0XC6io,"{'snippet': ""'Nice place for having a special coffee or even a lunch.'""}",People typically spend 45 min to 2 hr here
98,Waku Waku,ChIJa4H6ICpZzpQRy_oTSO6KaWc,"{'snippet': ""'Expertly pulled espresso, and from that great milk drinks too.'""}",People typically spend 25 min to 1 hr here
99,Waku Waku,ChIJa4H6ICpZzpQRy_oTSO6KaWc,"{'snippet': ""'THE place tô relax, chat and haver different cofee with friends.'""}",People typically spend 25 min to 1 hr here
100,Saint Decor Bistrô,ChIJB3BpeYNezpQRBSogjsYrHpU,"{'snippet': ""'The iced teas, though, tasted fresh and refreshing!'""}",People typically spend 45 min to 2.5 hr here
101,Saint Decor Bistrô,ChIJB3BpeYNezpQRBSogjsYrHpU,"{'snippet': ""'Good options in the menu.'""}",People typically spend 45 min to 2.5 hr here
102,Café Cherie,ChIJ98Rlo_5XzpQRAp8T3lx-Qac,"{'snippet': ""'BUT you could find other desserts anywhere else in Brasil just as good.'""}",People typically spend 20 min to 1.5 hr here
103,Café Cherie,ChIJ98Rlo_5XzpQRAp8T3lx-Qac,"{'snippet': ""'The service was terrible and the food as well.'""}",People typically spend 20 min to 1.5 hr here
104,Café 10,ChIJ-0Kg6lFYzpQRM6G-6kGeFkc,"{'snippet': ""'Very good sandwiches, coffee, and açai smoothies.'""}",People typically spend 15 min here
105,Café 10,ChIJ-0Kg6lFYzpQRM6G-6kGeFkc,"{'snippet': ""'Absolutely delicious and fantastic for the price 👍'""}",People typically spend 15 min here
106,Café 10,ChIJ-0Kg6lFYzpQRM6G-6kGeFkc,"{'snippet': ""'Nice staff and cheap - perfect!'""}",People typically spend 15 min here
107,Rabisco Café 2D,ChIJmcXk3_VZzpQRckCy84rX2Gw,"{'snippet': ""'Delicious coffee, nice people work here :)'""}",People typically spend 20 min to 1.5 hr here
108,Rabisco Café 2D,ChIJmcXk3_VZzpQRckCy84rX2Gw,"{'snippet': ""'Adequate service and products...'""}",People typically spend 20 min to 1.5 hr here
109,Bacio di Latte - Santana Bras Leme,ChIJITg4Q3v3zpQRnQkFD52tpf0,"{'snippet': ""'Delicious gelato, cozy place and delicious options in the menu.'""}",People typically spend 30 min here
110,Bacio di Latte - Santana Bras Leme,ChIJITg4Q3v3zpQRnQkFD52tpf0,"{'snippet': ""'Delicious ice cream and great service'""}",People typically spend 30 min here
111,Bacio di Latte - Santana Bras Leme,ChIJITg4Q3v3zpQRnQkFD52tpf0,"{'snippet': ""'Definitely recommend it if you need to do some work in a stylish environment.'""}",People typically spend 30 min here
112,Blends 7 - Coffee Shop,ChIJ3WyiFbP3zpQR64XcYr4b6sU,"{'snippet': ""'Very good place to drink coffee and grab something to eat.'""}",People typically spend 25 min to 1.5 hr here
113,Blends 7 - Coffee Shop,ChIJ3WyiFbP3zpQR64XcYr4b6sU,"{'snippet': ""'Very good friendly atmosphere good pastrys cakes'""}",People typically spend 25 min to 1.5 hr here
114,Blends 7 - Coffee Shop,ChIJ3WyiFbP3zpQR64XcYr4b6sU,"{'snippet': ""'Very friendly staff.'""}",People typically spend 25 min to 1.5 hr here
115,Padaria Lareira,ChIJMcnvdSz4zpQRSx9N7AZrXIE,"{'snippet': ""'Products and excellent food, high price!'""}",People typically spend 10-45 min here
116,Padaria Lareira,ChIJMcnvdSz4zpQRSx9N7AZrXIE,"{'snippet': ""'Nice ambience...excellent coffee and snacks!'""}",People typically spend 10-45 min here
117,Padaria Lareira,ChIJMcnvdSz4zpQRSx9N7AZrXIE,"{'snippet': ""'Customer service very poor, very very poor!'""}",People typically spend 10-45 min here
118,Starbucks,ChIJB0UWvpBYzpQRGErxXALXNf4,"{'snippet': ""'Just another nice coffee place'""}",People typically spend 10 min here
119,Starbucks,ChIJB0UWvpBYzpQRGErxXALXNf4,"{'snippet': ""'Interessante o cold brew vanilla...'""}",People typically spend 10 min here
120,Starbucks,ChIJB0UWvpBYzpQRGErxXALXNf4,"{'snippet': ""'Great location in cooperation with Saraiva Megastore'""}",People typically spend 10 min here
121,Bakery La Brunet,ChIJT3qQJzT2zpQRi_9yxRTkPhc,"{'snippet': ""'Service is ok, location is convenient and the house looks good.'""}",People typically spend 15-45 min here
122,Bakery La Brunet,ChIJT3qQJzT2zpQRi_9yxRTkPhc,"{'snippet': ""'The breakfast here is excellent and there is an incredible variety of products.'""}",People typically spend 15-45 min here
123,Bakery La Brunet,ChIJT3qQJzT2zpQRi_9yxRTkPhc,"{'snippet': ""'Nice and clean .good atmosphere Prices ok'""}",People typically spend 15-45 min here
124,Béni Coffee House,ChIJH2pObGdYzpQRXIJ8SIG2S1Y,"{'snippet': '\'It""s a nice coffee shop, tho it could use of a more various menu of coffee.\''}",People typically spend 30 min to 1.5 hr here
125,Béni Coffee House,ChIJH2pObGdYzpQRXIJ8SIG2S1Y,"{'snippet': ""'Good mood, nice place to chitchat'""}",People typically spend 30 min to 1.5 hr here
126,ZUD Café,ChIJpydZ5j5YzpQR1V_gNLyvHV4,"{'snippet': ""'Really good service, with nice staff and GREAT food.'""}",People typically spend 20 min to 1 hr here
127,ZUD Café,ChIJpydZ5j5YzpQR1V_gNLyvHV4,"{'snippet': ""'Good place, the owner speak english.'""}",People typically spend 20 min to 1 hr here
128,ZUD Café,ChIJpydZ5j5YzpQR1V_gNLyvHV4,"{'snippet': ""'Great filtered coffee and banana bread.'""}",People typically spend 20 min to 1 hr here
129,The American Cakes,ChIJTxrWNxxYzpQRAcYeL8_XahA,"{'snippet': ""'Excellent service, very nice people, great atmosphere.'""}",People typically spend 25 min to 1.5 hr here
130,The American Cakes,ChIJTxrWNxxYzpQRAcYeL8_XahA,"{'snippet': ""'The Americans approve and love this place ☕️❤️'""}",People typically spend 25 min to 1.5 hr here
131,Le Pain Quotidien,ChIJIcbzSZZXzpQRrchVuCOmTuM,"{'snippet': ""'Very good bread, good food, coffee ok, high prices.'""}",People typically spend 20 min to 1.5 hr here
132,Le Pain Quotidien,ChIJIcbzSZZXzpQRrchVuCOmTuM,"{'snippet': ""'A nice place to bring your family, do meetings and work along the day.'""}",People typically spend 20 min to 1.5 hr here
133,Le Pain Quotidien,ChIJIcbzSZZXzpQRrchVuCOmTuM,"{'snippet': ""'Beautiful place, great service, breakfast is awesome'""}",People typically spend 20 min to 1.5 hr here
134,Lassù,ChIJRaFStX_3zpQRThV2HlXqcU4,"{'snippet': ""'Amazing experience, Great food, service and a beautiful view'""}",People typically spend 2-3 hours here
135,Lassù,ChIJRaFStX_3zpQRThV2HlXqcU4,"{'snippet': ""'Italian food nicely done and the menu had like 3 vegan options which was great!'""}",People typically spend 2-3 hours here
136,Lassù,ChIJRaFStX_3zpQRThV2HlXqcU4,"{'snippet': ""'Interesting mix of brazilian and Italian cuisine with cozy ambiance.'""}",People typically spend 2-3 hours here
137,Trampolim Startup Café,ChIJm4PO-DNYzpQRaD7OHAYuWrk,"{'snippet': ""'Good prices, hi quality food and awesome people.'""}",People typically spend 1-2 hours here
138,Trampolim Startup Café,ChIJm4PO-DNYzpQRaD7OHAYuWrk,"{'snippet': ""'A good place to get your breackfast and have some small talk.'""}",People typically spend 1-2 hours here
139,Santo Grão - Itaim,ChIJxxOSemhXzpQRyaxf-SgTk98,"{'snippet': ""'Great place with tasty food and good service.'""}",People typically spend 1-2.5 hours here
140,Santo Grão - Itaim,ChIJxxOSemhXzpQRyaxf-SgTk98,"{'snippet': ""'Price is fair, a bit more expensive than regular places but is worth the price.'""}",People typically spend 1-2.5 hours here
141,Santo Grão - Itaim,ChIJxxOSemhXzpQRyaxf-SgTk98,"{'snippet': ""'Nice ambience at night sitting on the terrace with chilled music.'""}",People typically spend 1-2.5 hours here
142,Padaria Estrela Polar,ChIJmz3ITSn2zpQRxvOx13Gno-M,"{'snippet': ""'Not cheep place, but food very tasty and staff very polite.'""}",People typically spend 20 min to 1 hr here
143,Padaria Estrela Polar,ChIJmz3ITSn2zpQRxvOx13Gno-M,"{'snippet': ""'Place to buy bread and cakes'""}",People typically spend 20 min to 1 hr here
144,Frangó,ChIJj67LLE74zpQRvmCzkeSV6bc,"{'snippet': ""'Great food, huge beer selection (490+ labels), friendly service, cozy place.'""}",People typically spend 1-2.5 hours here
145,Frangó,ChIJj67LLE74zpQRvmCzkeSV6bc,"{'snippet': ""'Good selection of beers and food menu'""}",People typically spend 1-2.5 hours here
146,Frangó,ChIJj67LLE74zpQRvmCzkeSV6bc,"{'snippet': ""'The best place to eat finger food and also whole chickens!'""}",People typically spend 1-2.5 hours here
147,Pá D'ouro Pães e Doces,ChIJl-o3SBH2zpQRruSD0r0zodI,"{'snippet': ""'Great bakery with an impressive selection of pastries and bread.'""}",People typically spend 10-45 min here
148,Pá D'ouro Pães e Doces,ChIJl-o3SBH2zpQRruSD0r0zodI,"{'snippet': ""'Good service and menu.'""}",People typically spend 10-45 min here
149,Pá D'ouro Pães e Doces,ChIJl-o3SBH2zpQRruSD0r0zodI,"{'snippet': ""'Good food at a good price.'""}",People typically spend 10-45 min here
150,McDonald's,ChIJRfFAPk32zpQRLdq_Jmls010,"{'snippet': ""'Good place to have a night out.'""}",People typically spend 20 min here
151,McDonald's,ChIJRfFAPk32zpQRLdq_Jmls010,"{'snippet': '\'The usual McDonald""s experience\''}",People typically spend 20 min here
152,Starbucks Shopping Higienópolis,ChIJ03h3jztYzpQRw2l-l4iLMjo,"{'snippet': ""'Great service where the staff go out of their way to make you feel special.'""}",People typically spend 10 min here
153,Starbucks Shopping Higienópolis,ChIJ03h3jztYzpQRw2l-l4iLMjo,"{'snippet': ""'Very nice place, they get your order right and the coffee tastes good'""}",People typically spend 10 min here
154,Starbucks Shopping Higienópolis,ChIJ03h3jztYzpQRw2l-l4iLMjo,"{'snippet': ""'Small Starbucks but with comfortable seating and inside a nice shopping center'""}",People typically spend 10 min here
