,title,place_id,username,rating,description,images,date
10,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Steven Chaney,1,"Earsplitting loud and unpleasant rock music being played in the street a few meters from an entrance to the cafeteria, and they won’t close the door. This was not permitted at Guantanamo under George W Bush.",,a month ago
11,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,David Wainwright,5,"Lovely place. It""s a cafe, bar and restaurant in the old part of the city. Seeped in class and tradition. Well worth a visit. The steak was amazing. The caipirinhas were to die for!","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPX3CT2X9kg4BRoQ35xit7dtLKnn1O5Pknrxr_x=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipP6snZKItKuYlbqablmWDHBAzyOSayH8ZwbnDJH=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOcl3cAVn_0uX09zhorggPp-qRrcU_dZmRS4r08=w150-h150-k-no-p'}]",3 years ago
12,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Stephanie Martínez,5,Such a beautiful and charming cafe! It was a great experience with great coffee.,,3 months ago
13,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Alexander Leo-Hansen,5,Tasteful cakes and good service. The interior is really special.,[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMJWrXAhh2qHeEJcx3dmMqF4Poz3iX42bNd9omX=w150-h150-k-no-p'}],3 years ago
14,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Alexandre Lopes,5,"It""s a nice vintage place to have dessert or coffee. If you want to stay for a while, they do serve breakfast and lunch.",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOnQnKWE8dbJy7Hk39DTlBEg5W3zk7yefWDjVkJ=w150-h150-k-no-p'}],5 years ago
15,Café Girondino,ChIJK73OtlVYzpQRmxTwBZPKlaY,Marcio Duarte,4,"Nice place in São Paulo downtown to fast breakfast, beers and food. Very old and traditional place.",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPBH_MpGWa29l1xaNFuytQJT9DTGd3UgXoUovQ0=w150-h150-k-no-p'}],3 years ago
16,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Florian Koenigsberger,5,"Tucked away café spot with great sandwich and coffee options. The back patio is a nice pocket of greenery and they also stock a number of cool cycling trinkets. Great for weekend brunch, very friendly staff. The chocolate cookie was absurdly good, as was the cold brew with tonic.","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNYViUlRRr1UQlhmCMTFLD7eqkLHXIH1wdL-udP=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMb956z5oHhz8WT-7-i9lHbKdbkJORTRZXkzHk1=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipP8yBpyQV0PICEppDDl7U3GMl5uzxBgQCAlCo9I=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOOgGbuz86zNDpmGJW2WlZJ-RmaVlDZAMkj6WLF=w150-h150-k-no-p'}]",6 years ago
17,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Julie Tolsgaard,5,Being a huge coffee fanatic I have to say that KOF makes an amazing latte! We tried the cinnamon bun as well which was delicious 😍,,a month ago
18,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Rachel B,5,"Excellent coffee shop - great coffee and good vibes! The most important things to make up the coffee shop you want to keep returning to.

The atmosphere is really great. They have indoor seating as well as outdoor (in front and out back). Nicely designed and decorated very cute. Friendly service.

They also serve other drinks (including tea, mate, etc) was well as sandwiches, cookies, etc.

#café #coffee #brazil #mocaccino #chá #kingofthefork #goodatmosphere #chillvibes","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMy012U2q0x4qYXqIc9ZV_-PiL8ULcK8jSSYfzP=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPHLbsnyKyy-oftJxC4rZ4Q6xhpyrFVKERzdCjq=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOH7K9jsGIe8wYL7r-vr136g71WmzVgKRG2qZR5=w150-h150-k-no-p'}]",4 years ago
19,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,David Hämmerli,2,"Staff lacks of training, let""s begin with eye contact and the two words: ""thank you"". 👁️‍🗨️✌️
☕ Is good - banana bread lacks of 🍌.
Be aware that you""r not allowed to work there with a laptop, basically they want that you drink your coffee and be gone asap. I got that from an economic perspective, but it""s just not sympathetic. Even when you enter with an iPad, before they even greet you - they let you know, that""s not allowed to use it (staff training...). We won""t come back. Tipp for you guys: add a sign 🚫💻 and get rid of the desks.","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMqYiHm841NqumNKJH-YT9Ng-0f2ZN7cUZbaDY=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMDCGLHrEwzlXi0pkV5sMhqoTZGtu6LX3Vbz5M=w150-h150-k-no-p'}]",a year ago
20,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Bo-sung Kim,5,"My favourite cafe in Sao Paulo. Cozy atmosphere, great coffee with decent price and lovely home-made cakes!!!","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPb5s_OXvzc-L-7b02VhX96T-bpuqPhlNUNKx5B=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOjOVA24wDdTJ6Q6GqYbJISx_7pjnvfut2tLSO6=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNr9wPdEdK4CrcQCXWW0zNN81CFghaq9H33Oz_L=w150-h150-k-no-p'}]",5 years ago
21,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Jorge Daniel Sampayo Vargas,5,"Easily the best Flat White at Sao Paulo so far.

Actually is the only place I have seen that includes it in the menu and uses the Gibraltar glasses.

If you want a taste of Australia / New Zealand originals, come to this place!",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMNSOuZiD2JF91rehWOKQLB9osuWW59rtZl3zQw=w150-h150-k-no-p'}],3 years ago
22,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Michele Araujo,1,"Although the coffee taste was good I was not very happy with my experience. My partner and I had to move seats, then we were told no laptops which was fine but no signs or previous warning was made even though we had already ordered coffees and snacks and we were ready to order more. If the intention is to push people working in their laptops away you should have a poster or some form of warning, especially as this seems to be a reoccurring fact.",,8 months ago
23,KOF - King of The Fork,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Paul Boland,4,Food is tasty but portions are very small. Nice place to chill,,3 months ago
24,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Arcelia Gallardo,5,Plenty of space for 2 kids with stroller. Outside and indoor seating. One of the best quality coffees in Brazil. Great for coffee nerds.,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNi31jQuSRjBR2GXrN9q9lxKUzWVfJhYIYKxywG=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPWJskn9iCqburErtUKw2AcMPutcOtXT-WLAIPv=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPQK6FvrcauMWD_qpj-dCGIempCNSTbUoqFV7ce=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPPu0YcDSPamRmQjE6GQrMwxZCgggawhxDKMPit=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMEies3H8NbK7FzZ8_5qI88-BHsZAesPSghagwD=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipM9j3i1C1tYfZwyzmI-GCmvFXNyfN-muFHg7Nq8=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN6GOZf0nCRRToMAP7-5G-3FCDH6LQeac4cq2oI=w150-h150-k-no-p'}]",3 years ago
25,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Taylor Boosmann,5,"This cafe is especially great if you’re looking for a place to sit for a while and get some work done. They have WiFi and lots of work stations with outlets. The cold brew c/ leite was great! Next time I’ll try some of the baked goods, they looked amazing. They also have homemade nut milk for those who prefer leite vegetal to dairy.",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPFV1gA6JoGTiNxKBqFQlixcX2_HjY_pZ0D_gUq=w150-h150-k-no-p'}],3 years ago
26,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Dan Dhillon,3,Whoever said this place has wifi has very outdated info.,,8 months ago
27,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Ximena Duenas,5,Great coffee (from a Colombian point of view) and the banana bread is fantastic.,,3 years ago
28,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Janneke Holzner,5,Very strong lovely coffee and excellent banana bread. Accept card!,,4 years ago
29,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Frank Taylor,5,"Cupping Lab had the mocha coffee that I wanted, and I think that it is open until 9:00 PM.",,3 years ago
30,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Diego Mendonca,5,Great service! Fair prices. My #1 go to coffee place.,,3 years ago
31,Cupping Café,ChIJe45oNJZXzpQRUXYN4bE42h8,Paula Carvalho,3,Bland.,[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMdJSHkKbOPsouUrDaHidAmkMIbvP6htZ8X3All=w150-h150-k-no-p'}],3 years ago
32,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Sérgio Dantas,4,"Nice environment. Friendly staff. The menu has some interesting options like Jackfruit snacks and different combinations of tea and sandwiches with many vegan choices. The place is a bit noisy but still, very pleasant. Recommended!",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPnIEAWJiz9dYkWbVd8xWeJ-CKat5lc9nbEzaaK=w150-h150-k-no-p'}],3 months ago
33,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,David S,5,"The food, the coffee are good.  The problem is the service when they are busy. I ordered a second coffee because I finished the first cup before the food arrived. But the second cup didn’t arrive until long after I finished my food.  They came to double check with me that my second cup is not the third cup.",,3 months ago
34,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Winicius Feitosa,5,"Amazing Coffee Place - Temperature came perfect, very well served, snacks and cakes insanely good, distinct and casual ambience! Fast and well located! Totally recommended!","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNjqCN4vu2OvCe97jSgGeD5UkeNPlosR-EpRmlr=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMgcWVuHZh7V01Io41Ms3ZtoUwYsoZmkl7r-NGc=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNzKS18G1FO6qmqn4rV6BsPpcspgEGKHJ1yRkj5=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPOSvbO-Wyzt8C03jXuplgNQ4LVLmZyLbmZt81H=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNcuUdTyEjoN79majuIcJZw_-mP-urI0hbURoQ6=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN3FRYccaAmo3VWpOnGOy78yxovO-IYxHKd-4d4=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNtITGuxKibvyHKrCBjt87mLuWpXSom_BlZd6V0=w150-h150-k-no-p'}]",2 years ago
35,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Ben Hurley Scarbro,5,"Great spot. Good food, nice service, and good location if you""re wandering north of Paraíso.  We paired breakfast/brunch here with a day at the Museum of Art and Trianon Park nearby.  BUt you could just simply enjoy a morning/afternoon here. Highly Recommend.","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipP1DJGSoBX-eMfg8uH3Zpa_A1zkYg1isN6WivDu=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOGZ-uuuH_8wAHL08YVMx7GXgdjfhzO3WX1u9kC=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOxFy9TExWl51tW-KzW88eA_67uz09etwf6dYCs=w150-h150-k-no-p'}]",2 years ago
36,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Laura Kurtzberg,5,"My favorite hipster coffee place in São Paulo! The coffee and tea options are stellar but what really brings it home is the great food! I recommend the mandiocinha soup because it""s awesome.","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNfATXWTRIo8KVyU44AcvpTntp-AQ_vaGqGkbye=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMWz0JwfRP8ngtoEwQu1-bXF267QIVv2lw_LvTK=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOfXbwKzbjELXKFjG7gHEiNTFD2dU6q4WEqQQBI=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMWJAqHN9lvIO-WvJmXP5o8-UauliP07oQ7K27Q=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMfSynMCAKWQXsZiYGN3GNfZ7JtBcGO341dSTMc=w150-h150-k-no-p'}]",5 years ago
37,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,FX Smithers,3,"The food and beverages are ok to good, but I don’t think the prices are competitive compared to similar offerings nearby.",,3 weeks ago
38,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Rachel B,5,"Really beautiful coffee shop with quality coffee. I really enjoyed my Irish coffee here, as well as the cappuccino my girlfriend got. Both were delicious.

Love the atmosphere in here. There’s a loft area upstairs with seating, where you can overlook the entirety of the shop. The place is very urban and full of plants, giving a beautiful, green and natural vibe to it all.

Prices were reasonable to me, at least as far as drinks go.

Would definitely return here to enjoy again!

#urbe #urbecafebar #café #coffee #sãopaulo #sampa","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipM2UuG4O4HFxKvYcL4GeBSeA63T7KTBWGvdEMXH=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMyS5K22Sz-tKBXe24kBQoZ3QXLcHgvsF_7lY8V=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPshDUiiqrJ2MVvMlC_LNq47B6HM4TKqtGiIcKc=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN8dPrEvD8i256UQxG38Vuyo4GB8bkAizaj-2Ud=w150-h150-k-no-p'}]",4 years ago
39,Urbe Cafe Bar,ChIJOwjAKTNYzpQRwR6a0vqnO40,Jana F,5,"Great coffee and food! Cool modern industrial ambience. Staff is very friendly and efficient. Can recommend the vegan hamburger, it""s very tasty!",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMufUeNsc2ifLZtyVU2PEVPTKeQ8gI-SoF1S43W=w150-h150-k-no-p'}],a year ago
40,Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Michael Morales,5,"Coffee Lab has hands down become one of my favorite coffee shops in the world. First, the space is everything you could want a cool, laid-back coffee shop to be. Greenery everywhere, private nooks, gathering spaces and it’s deceptively expansive. Second, the service of all of the baristas was excellent. Their knowledge and passion for coffee was palpable. And finally, the coffee! The coffee was so exceptionally prepared and you’d be hard pressed to find a better tasting shot of espresso or a cup of coffee anywhere else in the world. A MUST stop by if you’re in São Paulo!","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipODB96KYj6EbcExMPMWVI2WMegeIh2bru_njXor=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNywSxub2D-2WSobvlbV56PmAElL8yKHNFh5DsS=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOScU2Q3tghfu4Oy9keI4Bs7b5bqsMfZv5eh8Bo=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOd_e_e3e0i2FthOUWyuVznfnBgzL-cT2_n_Q6K=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMHp9UTv8PN5JXGOLSDdH8RByPopPozgdV9HmZY=w150-h150-k-no-p'}]",a month ago
41,Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,kim e. powell,5,"5.0 | This place is a gem. I think this is easily one of the most unique coffee spots I’ve been to. they also have a ritual menu, where I ordered the cappuccino, one was made italian style, the other brazilian style. it was very pleasant, and both were presented in a way to appreciate the uniqueness of ea. the other folks got pour overs and teas, which they also enjoyed. the branding of the space is nice, and the experience is catered to true coffee enthusiasts. I loved it. I highly recommend you go if you’re in São Paulo.","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPDbXPCKs2Or6A5ACIuGN5X7mtleN4PplBFTG-S=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMjgFZYqmRim7ZgXuJWWxRF21W1DJ93cKiiyHgn=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPHr6jDCOkESttd7WVi9mW6oLPLKtgSNeA-jOdH=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMcmOc8HfEopNkneljy_fmsQXhvf42I98eCHGWw=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipM3RZJwkySC8haNh7fRaHiuD9p319gnIL7ecBYU=w150-h150-k-no-p'}]",9 months ago
42,Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Andreas Spindler,5,"Yes! Definitely yes! The staff is very accommodating, knowledgeable, speaks English very well, the place is very relaxing and of course the coffee is fantastic! They also had a gluten free 'bolo' made with corn flour. They are also aware of cross contamination and told us that they make it in the same kitchen as the other cakes. So, be aware!","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNifq-jAnBgZh6kFGw7dChTc3m6UDZDUlYvsz_q=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOi3xel0RaNWAkPl00pwNn6jPl7uZV_9757WQ-h=w150-h150-k-no-p'}]",2 months ago
43,Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Tiago DSP,5,"Great drip coffee with interesting flavours from different regions. A nice place to start the day in a cozy, industrial style coffee place. The prices are on the high side for locals, but perfectly fine for foreigners.","[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOmW4dhkfKTSD3pUPSIrin0kx2_2F8g8ZBUDW-u=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMyoIGM6tMf9Rc6waQE-vcsQ2Grfge5cCyrfCwf=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOZZqwQ8wpmE13nbkLsYWHP-M6rApOCmTA0QGva=w150-h150-k-no-p'}]",2 days ago
44,Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Larisa Hladiuc,5,"I liked this place a lot, it was different from other coffee places I tried in SP. The location itself was unique, with both outdoor & indoor seating and a lot of greenery.",[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPEH2yVeFDxW2ts-SfYtdXyO2SnKDdpeizALM40=w150-h150-k-no-p'}],2 months ago
45,Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,julia hudler,5,Amazing coffee in an amazing place !!! Loved it so much.,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMFxCKBEijzC1e3rQ7zftbB6KcBhhoooIx00x52=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNAYGVh9HQ5a5INJJVZzErHvOawobX1xyqQ0saO=w150-h150-k-no-p'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNINbB2pau8u8NY_xQc1pxjAgB3SWOTovpLb-gI=w150-h150-k-no-p'}]",3 months ago
46,Coffee Lab,ChIJMx_GCb1XzpQR0HcKUeEoCxk,Florian Winkler,5,"by far the most sophisticated and coolest coffee place I""ve been so far. If you like good coffee and want a great experience, go there. Prices are more than fair.",,3 months ago
