ID,idEstabelecimento,Nota,Data,Texto,PolaridadeValor,PolaridadeTexto
10,ChIJK73OtlVYzpQRmxTwBZPKlaY,1,a month ago,"Earsplitting loud and unpleasant rock music being played in the street a few meters from an entrance to the cafeteria, and they won’t close the door. This was not permitted at Guantanamo under George W Bush.",-0.25,Negativo
11,ChIJK73OtlVYzpQRmxTwBZPKlaY,5,3 years ago,"Lovely place. It""s a cafe, bar and restaurant in the old part of the city. Seeped in class and tradition. Well worth a visit. The steak was amazing. The caipirinhas were to die for!",0.4125,Positivo
12,ChIJK73OtlVYzpQRmxTwBZPKlaY,5,3 months ago,Such a beautiful and charming cafe! It was a great experience with great coffee.,0.665,Positivo
13,ChIJK73OtlVYzpQRmxTwBZPKlaY,5,3 years ago,Tasteful cakes and good service. The interior is really special.,0.5285714285714286,Positivo
14,ChIJK73OtlVYzpQRmxTwBZPKlaY,5,5 years ago,"It""s a nice vintage place to have dessert or coffee. If you want to stay for a while, they do serve breakfast and lunch.",0.6,Positivo
15,ChIJK73OtlVYzpQRmxTwBZPKlaY,4,3 years ago,"Nice place in São Paulo downtown to fast breakfast, beers and food. Very old and traditional place.",0.2325,Positivo
16,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,5,6 years ago,"Tucked away café spot with great sandwich and coffee options. The back patio is a nice pocket of greenery and they also stock a number of cool cycling trinkets. Great for weekend brunch, very friendly staff. The chocolate cookie was absurdly good, as was the cold brew with tonic.",0.3921874999999999,Positivo
17,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,5,a month ago,Being a huge coffee fanatic I have to say that KOF makes an amazing latte! We tried the cinnamon bun as well which was delicious 😍,0.4625,Positivo
18,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,5,4 years ago,"Excellent coffee shop - great coffee and good vibes! The most important things to make up the coffee shop you want to keep returning to.

The atmosphere is really great. They have indoor seating as well as outdoor (in front and out back). Nicely designed and decorated very cute. Friendly service.

They also serve other drinks (including tea, mate, etc) was well as sandwiches, cookies, etc.

#café #coffee #brazil #mocaccino #chá #kingofthefork #goodatmosphere #chillvibes",0.5340909090909091,Positivo
19,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,2,a year ago,"Staff lacks of training, let""s begin with eye contact and the two words: ""thank you"". 👁️‍🗨️✌️
☕ Is good - banana bread lacks of 🍌.
Be aware that you""r not allowed to work there with a laptop, basically they want that you drink your coffee and be gone asap. I got that from an economic perspective, but it""s just not sympathetic. Even when you enter with an iPad, before they even greet you - they let you know, that""s not allowed to use it (staff training...). We won""t come back. Tipp for you guys: add a sign 🚫💻 and get rid of the desks.",0.18,Positivo
20,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,5,5 years ago,"My favourite cafe in Sao Paulo. Cozy atmosphere, great coffee with decent price and lovely home-made cakes!!!",0.4358072916666666,Positivo
21,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,5,3 years ago,"Easily the best Flat White at Sao Paulo so far.

Actually is the only place I have seen that includes it in the menu and uses the Gibraltar glasses.

If you want a taste of Australia / New Zealand originals, come to this place!",0.2098484848484848,Positivo
22,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,1,8 months ago,"Although the coffee taste was good I was not very happy with my experience. My partner and I had to move seats, then we were told no laptops which was fine but no signs or previous warning was made even though we had already ordered coffees and snacks and we were ready to order more. If the intention is to push people working in their laptops away you should have a poster or some form of warning, especially as this seems to be a reoccurring fact.",0.1917582417582417,Positivo
23,ChIJYwEBwJ1XzpQRWrGNAyfOyHo,4,3 months ago,Food is tasty but portions are very small. Nice place to chill,0.1374999999999999,Positivo
24,ChIJe45oNJZXzpQRUXYN4bE42h8,5,3 years ago,Plenty of space for 2 kids with stroller. Outside and indoor seating. One of the best quality coffees in Brazil. Great for coffee nerds.,0.6,Positivo
25,ChIJe45oNJZXzpQRUXYN4bE42h8,5,3 years ago,"This cafe is especially great if you’re looking for a place to sit for a while and get some work done. They have WiFi and lots of work stations with outlets. The cold brew c/ leite was great! Next time I’ll try some of the baked goods, they looked amazing. They also have homemade nut milk for those who prefer leite vegetal to dairy.",0.4,Positivo
26,ChIJe45oNJZXzpQRUXYN4bE42h8,3,8 months ago,Whoever said this place has wifi has very outdated info.,-0.5200000000000001,Negativo
27,ChIJe45oNJZXzpQRUXYN4bE42h8,5,3 years ago,Great coffee (from a Colombian point of view) and the banana bread is fantastic.,0.6000000000000001,Positivo
28,ChIJe45oNJZXzpQRUXYN4bE42h8,5,4 years ago,Very strong lovely coffee and excellent banana bread. Accept card!,0.6877777777777778,Positivo
29,ChIJe45oNJZXzpQRUXYN4bE42h8,5,3 years ago,"Cupping Lab had the mocha coffee that I wanted, and I think that it is open until 9:00 PM.",0.0,Neutro
30,ChIJe45oNJZXzpQRUXYN4bE42h8,5,3 years ago,Great service! Fair prices. My #1 go to coffee place.,0.85,Positivo
31,ChIJe45oNJZXzpQRUXYN4bE42h8,3,3 years ago,Bland.,-0.1666666666666666,Negativo
32,ChIJOwjAKTNYzpQRwR6a0vqnO40,4,3 months ago,"Nice environment. Friendly staff. The menu has some interesting options like Jackfruit snacks and different combinations of tea and sandwiches with many vegan choices. The place is a bit noisy but still, very pleasant. Recommended!",0.4958333333333333,Positivo
33,ChIJOwjAKTNYzpQRwR6a0vqnO40,5,3 months ago,"The food, the coffee are good.  The problem is the service when they are busy. I ordered a second coffee because I finished the first cup before the food arrived. But the second cup didn’t arrive until long after I finished my food.  They came to double check with me that my second cup is not the third cup.",0.111111111111111,Positivo
34,ChIJOwjAKTNYzpQRwR6a0vqnO40,5,2 years ago,"Amazing Coffee Place - Temperature came perfect, very well served, snacks and cakes insanely good, distinct and casual ambience! Fast and well located! Totally recommended!",0.303125,Positivo
35,ChIJOwjAKTNYzpQRwR6a0vqnO40,5,2 years ago,"Great spot. Good food, nice service, and good location if you""re wandering north of Paraíso.  We paired breakfast/brunch here with a day at the Museum of Art and Trianon Park nearby.  BUt you could just simply enjoy a morning/afternoon here. Highly Recommend.",0.5599999999999999,Positivo
36,ChIJOwjAKTNYzpQRwR6a0vqnO40,5,5 years ago,"My favorite hipster coffee place in São Paulo! The coffee and tea options are stellar but what really brings it home is the great food! I recommend the mandiocinha soup because it""s awesome.",0.615,Positivo
37,ChIJOwjAKTNYzpQRwR6a0vqnO40,3,3 weeks ago,"The food and beverages are ok to good, but I don’t think the prices are competitive compared to similar offerings nearby.",0.3999999999999999,Positivo
38,ChIJOwjAKTNYzpQRwR6a0vqnO40,5,4 years ago,"Really beautiful coffee shop with quality coffee. I really enjoyed my Irish coffee here, as well as the cappuccino my girlfriend got. Both were delicious.

Love the atmosphere in here. There’s a loft area upstairs with seating, where you can overlook the entirety of the shop. The place is very urban and full of plants, giving a beautiful, green and natural vibe to it all.

Prices were reasonable to me, at least as far as drinks go.

Would definitely return here to enjoy again!

#urbe #urbecafebar #café #coffee #sãopaulo #sampa",0.2966666666666666,Positivo
39,ChIJOwjAKTNYzpQRwR6a0vqnO40,5,a year ago,"Great coffee and food! Cool modern industrial ambience. Staff is very friendly and efficient. Can recommend the vegan hamburger, it""s very tasty!",0.4575,Positivo
40,ChIJMx_GCb1XzpQR0HcKUeEoCxk,5,a month ago,"Coffee Lab has hands down become one of my favorite coffee shops in the world. First, the space is everything you could want a cool, laid-back coffee shop to be. Greenery everywhere, private nooks, gathering spaces and it’s deceptively expansive. Second, the service of all of the baristas was excellent. Their knowledge and passion for coffee was palpable. And finally, the coffee! The coffee was so exceptionally prepared and you’d be hard pressed to find a better tasting shot of espresso or a cup of coffee anywhere else in the world. A MUST stop by if you’re in São Paulo!",0.2453703703703703,Positivo
41,ChIJMx_GCb1XzpQR0HcKUeEoCxk,5,9 months ago,"5.0 | This place is a gem. I think this is easily one of the most unique coffee spots I’ve been to. they also have a ritual menu, where I ordered the cappuccino, one was made italian style, the other brazilian style. it was very pleasant, and both were presented in a way to appreciate the uniqueness of ea. the other folks got pour overs and teas, which they also enjoyed. the branding of the space is nice, and the experience is catered to true coffee enthusiasts. I loved it. I highly recommend you go if you’re in São Paulo.",0.3601388888888889,Positivo
42,ChIJMx_GCb1XzpQR0HcKUeEoCxk,5,2 months ago,"Yes! Definitely yes! The staff is very accommodating, knowledgeable, speaks English very well, the place is very relaxing and of course the coffee is fantastic! They also had a gluten free 'bolo' made with corn flour. They are also aware of cross contamination and told us that they make it in the same kitchen as the other cakes. So, be aware!",0.1614583333333333,Positivo
43,ChIJMx_GCb1XzpQR0HcKUeEoCxk,5,2 days ago,"Great drip coffee with interesting flavours from different regions. A nice place to start the day in a cozy, industrial style coffee place. The prices are on the high side for locals, but perfectly fine for foreigners.",0.3252380952380952,Positivo
44,ChIJMx_GCb1XzpQR0HcKUeEoCxk,5,2 months ago,"I liked this place a lot, it was different from other coffee places I tried in SP. The location itself was unique, with both outdoor & indoor seating and a lot of greenery.",0.2125,Positivo
45,ChIJMx_GCb1XzpQR0HcKUeEoCxk,5,3 months ago,Amazing coffee in an amazing place !!! Loved it so much.,0.625,Positivo
46,ChIJMx_GCb1XzpQR0HcKUeEoCxk,5,3 months ago,"by far the most sophisticated and coolest coffee place I""ve been so far. If you like good coffee and want a great experience, go there. Prices are more than fair.",0.4875,Positivo
47,ChIJMx_GCb1XzpQR0HcKUeEoCxk,4,4 years ago,"Quality coffee and nice atmosphere.

Overall, the quality here is very nice. We ordered a variety of items to try and all were very good. Only item that we truly did not enjoy was the espresso and panna. Espresso was burnt and once that happens, even the sweetness of the panna can’t cover it. All other coffee drinks were good however. I ordered the biscoito, which was very good. The other dish, bread and butter, was so so honestly. I think ultimately it would’ve been paired better with a different bread than brioche, which isn’t what you typically expect for a bread and butter.

Also love the way the place is decorated, and the outdoor space is very nice. Two thumbs up for that.

A few small downsides for me: the menu is a bit confusing. We didn’t really understand the first several options prior to getting to what appears to be the main menu. Overall, I think the menu could be clarified more, including food option descriptions (maybe pictures?).

Other small downside is they seat you, which is possibly in order to effectively fill their space. However, for me, it gives more of a restaurant feel, rather than a casual, cozy café. As far as this point goes, I don’t really take away from them, as I believe this is more of a personal preference when grabbing café.

#sãopaulo #sp #sampa #café #coffee #coffeelab #caffeine #espresso #biscoito #cappuccino",0.1803947368421052,Positivo
48,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,5,5 months ago,"Igor, Maria and all the staffs are amazing! Always atencipating our orders and they always have a smile on the face! They receive us very well, every week I return here just for the good service",0.50625,Positivo
49,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,5,5 months ago,"All the staff are very nic! The beer and the drinks are always in the perfect temperature , the fried pastel is PERFECT!!  Igor ir the best , he is very condescending and very friendly! Look for him, he is the best! 😉",0.7227678571428572,Positivo
50,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,4,3 years ago,Nice atmosphere to have a coffee with some snacks. Some beer and soft drinks available,0.3666666666666667,Positivo
51,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,5,3 years ago,Top,0.5,Positivo
52,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,5,5 months ago,"Great drinks and beers always cold, excellent portion of pastel and the service staff is great, especially the waiters igor, eris and mari.",0.4,Positivo
53,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,4,7 months ago,To have a coffee is always wonderful! There is a truffled carrot cake that is unreal good… lunch is always full and the food takes a while to be served.,0.675,Positivo
54,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,5,5 months ago,"I speak Spanish and I felt very comfortable that they attended me in my language, everyone was very friendly.",0.3358333333333334,Positivo
55,ChIJ4T1LIS1YzpQRxdwkTeQr0w0,4,7 months ago,Good service and good options for breakfast.,0.7,Positivo
56,ChIJKY73HalZzpQR1ZE9JE8dzS0,5,3 weeks ago,"Great bakery, coffee is right, try their ice creams or a milkshake. Cakes are just what you want for a coffee companion. There is lunch and dinner as well, looks good, didn""t tried.",0.5952380952380952,Positivo
57,ChIJKY73HalZzpQR1ZE9JE8dzS0,4,3 months ago,"It was perfect to have a quick breakfast. The croissants was one of the bestest croissants that I""ve ever eaten.",0.6666666666666666,Positivo
58,ChIJKY73HalZzpQR1ZE9JE8dzS0,5,2 years ago,"The best little sandwich I""ve ever had (Misto quente). Warm soft bun and the cheese and ham were silky and luscious. I also had their Cafe Affogato multiple times. Great ice cream and fresh espresso",0.3732142857142856,Positivo
59,ChIJKY73HalZzpQR1ZE9JE8dzS0,5,3 weeks ago,"Amazing Brazilian food, great service and scrumptious desserts options.",0.7000000000000001,Positivo
60,ChIJKY73HalZzpQR1ZE9JE8dzS0,3,7 months ago,"this place is nicely designed and organised (in braziian standards), it has good seats, waitresses and is seperated from the street, but the food it serves is not so much to my taste. everything i tried tasted good and clean, but was nothing special, just the same items you can find in most cafes in sao paulo. the looks are great but the ingridients are quite average and create the same range of tastes you can find in each and every sao paulo""s cafe. i don""t understand why they don""t try to be a bit creative or unique. prices are same as in europe, so they could try a bit harder.",0.3232539682539682,Positivo
61,ChIJKY73HalZzpQR1ZE9JE8dzS0,5,2 months ago,"Pistachio gelato is excellent. Very good chocolate gelato also. 5*
Cafe con leche was good 3*",0.87,Positivo
62,ChIJKY73HalZzpQR1ZE9JE8dzS0,5,7 months ago,Went there for coffee and a dessert. Everything was delicious.,1.0,Positivo
63,ChIJKY73HalZzpQR1ZE9JE8dzS0,3,a year ago,"Honestly it is more of deli place than a coffee place. They have nice coffee and milk drinks.
But, the coffee is not that good. The Expresso is below regular standard.
They need to hire a Barista.",0.36,Positivo
64,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,5,4 months ago,"American visitor for business. Excellent Coffee place, best pour over I’ve ever had and a very tasty eggs Benny",0.55,Positivo
65,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,5,a month ago,"Excellent coffee, eggs, sweeties, spectacular service... It""s so worth it!",0.6583333333333333,Positivo
66,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,4,a year ago,UM is a unique place in São Paulo for having coffee and…The staff are exceptional and knowledgeable.  The location design is well thought and quite comfortable.  When visiting São Paulo it is one of the places you should have on your “want to have coffee there” list.,0.4805555555555554,Positivo
67,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,5,a year ago,"Really loved the croissant with catipiry ( I added perfect scrambled eggs).
The best coffee in Brazil comes from the Campanha area in my humble opinion, little wonder I will be back with visitors.",0.3854166666666667,Positivo
68,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,5,a year ago,Awesome!!,1.0,Positivo
69,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,3,4 months ago,Most expensive water bottle ever,0.0,Neutro
70,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,5,5 years ago,"Nice place, good attendance and the best coffee I've ever had! | Café number #One in all of Brazil.",0.7666666666666666,Positivo
71,ChIJgY-iHWZYzpQRUQ1dHiOh1IU,5,10 months ago,Organic food and tasteful coffe. Amazing!,0.7500000000000001,Positivo
72,ChIJy_Nx8yVazpQRfS3c9meKjik,3,2 months ago,"Excellent coffee but that is not the best part…Customer Service was top notch! Shop owner Leiticia is passionate about coffee and she generously shares her knowledge with you.
A must stop for coffee/treats!",0.640625,Positivo
73,ChIJy_Nx8yVazpQRfS3c9meKjik,5,4 years ago,The best coffee I have had in São Paulo. The staff are super friendly and the owners are just absolutely amazing. It is a very special place and it feels like home. Recommend 100%,0.5545238095238096,Positivo
74,ChIJy_Nx8yVazpQRfS3c9meKjik,5,4 years ago,Amazing coffee and the owner and the baristas were very nice to talk with.,0.6900000000000001,Positivo
75,ChIJy_Nx8yVazpQRfS3c9meKjik,5,6 months ago,"I go frequently to Brazil for business, and was looking for a place with good coffee in the right place. This is it! My pourover was excellent, the staff is very friendly and speak good English. It is in a business district and as such is less designed to sit and relax as to buy to take away - which is what I needed. I also bought some beans to take home, which were very, very good. But I found those to be pretty expensive. Recommended for a takeaway morning cup!",0.3094146825396826,Positivo
76,ChIJy_Nx8yVazpQRfS3c9meKjik,3,5 months ago,"This is by far my best coffee experience in Brazil so far. It has been extremely difficult to find a decent cafe in Sao Paulo (ironic, I know)! These guys get it right, particularly with milk-based espresso drinks, which nobody else seems to get remotely right. The ambiance is also very quaint and cosy. Definitely highly recommended, particularly if you are into specialty coffee!! I only wish they would open over the weekend ;)",0.1816785714285714,Positivo
77,ChIJy_Nx8yVazpQRfS3c9meKjik,2,3 years ago,"A coffee shop that doesn""t smell coffee. Too few and above average price food options in cold metal displays. Coffee had quality, but service is a bit confusing. Trendy,  with some design but not a cozy place.",-0.0785714285714285,Negativo
78,ChIJy_Nx8yVazpQRfS3c9meKjik,4,4 years ago,"The best coffee in São Paulo. Freshly roasted beans grown on the family""s own farm. High international standard.",0.3433333333333333,Positivo
79,ChIJy_Nx8yVazpQRfS3c9meKjik,5,a year ago,Great service and coffee!,1.0,Positivo
80,ChIJG7HwmhFazpQR8FYyeympwGI,3,a year ago,"3 stars is the maximum! Food not good, coffee not good…maximum average quality. Servers are lost most of the time…! The upside is the place…plenty of places including outside",0.03125,Positivo
81,ChIJG7HwmhFazpQR8FYyeympwGI,5,5 years ago,🦊 This place is a nice place to calm down and relax. Enjoy the atmosphere of a well decorated lovely nice coffee with your friends and family. The food is delicious and decoration is in a unique style. Parking spaces on the streets are available. This place really enriches the neighborhood. 🍰☕️,0.4219444444444445,Positivo
82,ChIJG7HwmhFazpQR8FYyeympwGI,5,4 months ago,"Even though I can’t speak Portuguese, I had an amazing experience here. The waitresses tried to translate the menu and helped me to choose one:) The carrot cake was an awesome choice. It’s very fresh and rich! Thank you for your great service❤️",0.6264583333333333,Positivo
83,ChIJG7HwmhFazpQR8FYyeympwGI,3,a year ago,Awesome cozy place with beautiful decoration!  Service is fast and kind. Food and coffee are great!,0.6,Positivo
84,ChIJG7HwmhFazpQR8FYyeympwGI,5,5 years ago,Lovely environment but the food is overpriced. The cashier was a bit not organized as we had to wait to pay the bill....,0.5,Positivo
85,ChIJG7HwmhFazpQR8FYyeympwGI,3,5 years ago,"I used to enjoy going there until one day, the waitress served bad coffee (cold and weak) I called her up and explained that I liked my coffee warmer and stronger.(Did I mention the coffee tasted like sink water?) The waitress was upset and told me the barista there knew what she was doing. So, bottom line, I am supposed to drink bad coffee when I go there? I don""t think so. Too bad. It was a nice place. Good luck anyway.",-0.086111111111111,Negativo
86,ChIJG7HwmhFazpQR8FYyeympwGI,5,3 years ago,"Attractive and cozy place for good coffee and things. You might want to stay longer to chat with a friend or two. It s 2 story house with gizmos for you to buy. Read the signs to hrlpy you engage in conversation with friends. Sometimes, it gets crowded, but it is not too bad. Visit it. You will like it. Cheers.",0.15,Positivo
87,ChIJG7HwmhFazpQR8FYyeympwGI,4,a year ago,Loveeed this place. The place is beautiful and the staff is very sweet and helpful. Only place in Brazil where I was able to find iced coffee,0.45125,Positivo
88,ChIJA1dkWKBZzpQRNcE14mmzErQ,3,4 years ago,"Their call is nice, but still there is a way to go. Food was good, but it took too long to arrive (and it isn’t a slow food place). Drinks as well took too long to arrive, and we saw them waiting after the kitchen finished them: thus they arrived only warm and not hot. Prices are fair. Another hint would be redesigning the menu, because theirs is fairly confusing. Sure the place will improve through time.",0.2068181818181817,Positivo
89,ChIJA1dkWKBZzpQRNcE14mmzErQ,3,a year ago,"Latte was good, and there are plenty of healthy options to choose from. Tried tapioca and fruit salad.",0.6,Positivo
90,ChIJA1dkWKBZzpQRNcE14mmzErQ,3,a year ago,Nice little Cafe in a neighbourhood environment. I recommend the omelette and definitely the coffee.,0.1374999999999999,Positivo
91,ChIJA1dkWKBZzpQRNcE14mmzErQ,5,7 months ago,"Quality is good, it could be really there for the full give stars. Problems: staff b quite often gets the order wrong. They cannot time coffee and food to arrive together. And you really need to set aside some time as you have to wait for food. A fair bit. But it is good, which is a shame",0.3357142857142857,Positivo
92,ChIJA1dkWKBZzpQRNcE14mmzErQ,4,3 years ago,"One of the best cafés of the area.

They have good coffee and are the only place on this side of Moema that brings you a shot of mineral water along your espresso.

Their warm menu is good, too.

Pets welcome & has a little terrace with two tables.",0.5160714285714285,Positivo
93,ChIJA1dkWKBZzpQRNcE14mmzErQ,5,3 years ago,"Few options and missing ingredients. the waitress, instead of telling there were missing ingredients for the dish, brought it incomplete instead.",-0.2,Negativo
94,ChIJA1dkWKBZzpQRNcE14mmzErQ,3,4 years ago,"We just had a drink, but it was all very good. Observing the food served around us, it must be good as well!",0.8925,Positivo
95,ChIJA1dkWKBZzpQRNcE14mmzErQ,5,4 years ago,"The food was very good, but they have a  very poor services.",0.1949999999999999,Positivo
96,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,5,9 months ago,"These 3 stars don""t mean that it is bad, but it is also sometimes called the best place for brunch.

The waiters were wearing sweat pants, upstairs not a single picture on the wall, overall very cold atmosphere and the food is not at all special. For the price not worth it. I would suggest the owner to put in more effort: make it cozy, train the staff a bit more and improve the cooking.

The location is amazing otherwise.",0.0708630952380952,Positivo
97,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,5,9 months ago,Not special. Even the museum is not spetacular. The view is great.,0.3107142857142857,Positivo
98,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,5,2 months ago,"Coffee very light and not the best carrot cake, it""s worth the view of Sao Paulo thought.",0.6066666666666667,Positivo
99,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,4,2 years ago,"Good, honest and simple cafe. Can""t ask for more than that.",0.4499999999999999,Positivo
100,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,5,10 months ago,"Your paying for the view, not for the coffee. Everything is passable, but with a hefty price.",0.0,Neutro
101,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,4,4 years ago,Top,0.5,Positivo
102,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,5,a year ago,"Views okay, food okay, but the coffee was horrible",0.0,Neutro
103,ChIJdcQM1SpYzpQRpD3Wz1v6JK0,3,10 months ago,Top,0.5,Positivo
104,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,a year ago,"Let me get this straight. When we got to the place staff was really not happy to see us, this 2 girls that worked there they we not rude, but I felt so unfriendly vibes from them, that made me feel very uncomfortable. Boy who took our orders spoke pretty good English so he took our orders instead.

In general about the coffee place itself even with such personal I simply can""t give it less than 5 stars. Food is incredibly delicious. I ordered schakshuka and it was one of the best I ever ate. Coffee is good. Juices are very fresh. I give it a good recommendation. Hopefully people who work there will be a bit more happier to see you when you get there 😉",0.2457407407407407,Positivo
105,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,8 months ago,one of the best places for a brunch/coffee date in SP. the place is small and that’s what makes it special. fair prices and good food. love the banana bread!,0.5220238095238096,Positivo
106,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,2 months ago,"So, for a review from an actual native English speaker, let me set the record straight, again. I""ve visited here several times during my trip to Brazil. Since I""ve set foot in this establishment, there""s been nothing but positive vibes from the staff and a great atmosphere, even from the staff behind the counter.  The wait staff is extremely attentive and they care about giving you a good experience.  Even after a couple visits, multiple staff remembered my favorite drink even though they serve hundreds of people daily. The main professional waiter Isaac and the owner(s) also speak good English. They have pretty much any drink you can imagine: hot and cold coffee, including cold brew, refreshing detox drinks, creative experimental drinks, smoothies, an assortment of dessert cakes, appetizers and many turkish inspired meals and breakfast dishes. Everything I have tried so far has been fresh and good.  The prices are very reasonable for the neighborhood as well.  It is true it""s not in a very large space, but the seat planning is very spacious and I""ve never felt overcrowded.",0.2088284632034631,Positivo
107,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,2 years ago,"Café Habitual is nice and cozy. The space is small so it""s better for smaller groups of people. The dishes are delicious and they offer both vegetarian and vegan options. I highly recommend their vegan avocado pie topped with mango and coconut, or any other desserts they have on display (like their brownies). It""s overall a bit pricey but you get what you pay for and for an occasional outing is excellent!",0.244090909090909,Positivo
108,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,2 years ago,My favourite cafe in São Paulo! Plenty of options of good quality food.,0.7,Positivo
109,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,a year ago,A very cozy place with good coffee and great for a brunch. But if you are very hungry I would not advise going here because one portion off the egg Benedict will not suffice. At least not for me (90 kg male :)). Also I find the prices a bit expensive. The eggs in the picture cost 8 EUR.,0.1425,Positivo
110,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,a month ago,Got lucky and sat next to one of the owners who helped me order and translated. Great spot and the oat milk was superb. Thank you!,0.5333333333333333,Positivo
111,ChIJQQ4oFwxZzpQRAHaNTb8Y-1s,5,11 months ago,"Stars for fresh juice , coffee, atmosphere and service only.  Food was disappointing - eggs, various salads are instagrammable but just not tasty! ;( Lacking flavors, texture and freshness.",-0.075,Negativo
