title,place_id,rating,reviews,price,type,ZonaSP,address,latitude,longitude,open_state,description,thumbnail,sunday,monday,tuesday,wednesday,thursday,friday,saturday,inicio,fim,aberto_dia_util(%),aberto_final_de_semana(%),madrugada,manha,tarde,noite,inicio_periodo,fim_periodo,dine_in,takeout,delivery,drive_through,Cluster
Chefia Restaurante,ChIJPbtiSutCzpQR4WiIK3qiKLQ,4.6,559.0,1,buffet restaurant,Outro,"R. Alm. Protógenes, 300 - Jardim, Santo André - SP, 09090-760, Brazil",-23.6507548,-46.5356935,Open ⋅ Closes 2:30 pm,,https://lh5.googleusercontent.com/p/AF1QipNZjIeUaboNal5wcL8l5P731FDBf6lvgySqPGj5=w80-h106-k-no,0,1,1,1,1,1,1,11.0,14.5,100.0,66.7,0.0,15.0,36.0,0.0,manha,tarde,1,1,0,0,13.0
Maddie Almoço,ChIJpYC5RvtEzpQRRVefGN9er4U,4.5,357.0,1,buffet restaurant,Outro,"Av. Alda, 250 - Centro, Diadema - SP, 09910-170, Brazil",-23.6890678,-46.626255,Closed ⋅ Opens 11:30 am Mon,,https://lh5.googleusercontent.com/p/AF1QipNSvGrTSkFZ_sJ3Yb_UPS4EpqPKpY3z4fmzUFpe=w80-h142-k-no,0,1,1,1,1,1,0,11.5,14.5,100.0,33.3,0.0,7.0,36.0,0.0,manha,tarde,1,1,1,0,9.0
SIRI CASCUDO LANCHONETE / ALMOÇO,ChIJB6QJqhdjzpQROmX0U_X9lJE,4.6,30.0,0,fast food restaurant,Outro,"R. Ângelo Caldini, 201 - bairro pimentas, Guarulhos - SP, 07262-210, Brazil",-23.473293,-46.397604,Closed ⋅ Opens 12 pm,,https://lh5.googleusercontent.com/p/AF1QipPmCOSBdRiCG1xxcup1z7sptHUUTIjMyJpadVge=w122-h92-k-no,1,0,1,1,1,1,1,13.0,23.5,75.0,100.0,0.0,0.0,86.0,76.0,tarde,noite,1,1,0,0,11.0
Casinha Mineira,ChIJBZG1_cdZzpQR_7_BhnUnt0I,4.5,1218.0,1,brazilian restaurant,Centro,"R. São Carlos do Pinhal, 445 - Bela Vista, São Paulo - SP, 01333-000, Brazil",-23.5639423,-46.6517267,Closed ⋅ Opens 12 pm,"Home-style cooking in a cozy space. Traditional dishes & sides from Minas Gerais, plus juices & caipirinhas served in a rustic setting.",https://lh5.googleusercontent.com/p/AF1QipMv3DLPjoQe7KdJSvHxCgnkWIRjleuZ4izrEd9H=w137-h92-k-no,0,1,1,1,1,1,1,11.5,15.0,100.0,66.7,0.0,7.0,43.0,0.0,manha,tarde,1,1,0,0,0.0
‍ Almoço Self-Service e marmitex delivery na Vila Andrade - Restaurante Catuti,ChIJN4Ij_CBRzpQRiYKM4302AnA,4.4,65.0,5,restaurant,Sul,"R. Catuti, 125 - Vila Andrade, São Paulo - SP, 05729-120, Brazil",-23.6370954,-46.7375664,Open ⋅ Closes 3:30 pm,,https://lh5.googleusercontent.com/p/AF1QipNh9QCZBSXfnLoNCg14u52K6B63gBOj8BL9wfj2=w122-h92-k-no,1,1,1,1,1,1,1,10.5,15.5,100.0,100.0,0.0,24.0,51.0,0.0,manha,tarde,1,1,0,0,10.0
O Comilão Restaurante,ChIJgTqzJ4xbzpQRdA-bOncMYYg,4.6,295.0,0,brazilian restaurant,Sul,"R. Clemente Pereira, 558 - Ipiranga, São Paulo - SP, 04216-060, Brazil",-23.5981916,-46.5998505,Closed ⋅ Opens 11:30 am Mon,,https://lh5.googleusercontent.com/p/AF1QipNWqyOcJY5sBu4pqk83gUsB0dvLjOgDiZQTE_56=w163-h92-k-no,0,1,1,1,1,1,0,11.5,15.0,100.0,33.3,0.0,7.0,43.0,0.0,manha,tarde,1,1,0,0,8.0
R&S Pastelaria E Lanchonete Servimos Almoço,ChIJMUjhG1ZFzpQRn4MX_kSIyv8,4.5,20.0,5,restaurant,Sul,"R. David Eid, 1318 - Vila do Castelo, São Paulo - SP, 04438-000, Brazil",-23.6805972,-46.6701712,Open ⋅ Closes 6:01 am Sun,,https://lh5.googleusercontent.com/p/AF1QipP2Vu1qhzgQPTiaAZ0URJSlwE7065atGrCw_lM7=w80-h106-k-no,1,1,1,1,1,1,1,6.016666666666667,6.016666666666667,100.0,100.0,0.0,0.0,0.0,0.0,manha,manha,1,1,1,0,5.0
Restaurante,ChIJ-e59XBj4zpQRMFzTnkJHG_4,4.8,13.0,5,buffet restaurant,Norte,"R. Isabel de Siqueira Barros, 197a - Limão, São Paulo - SP, 02712-080, Brazil",-23.507678,-46.6783264,Open ⋅ Closes 2 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZjpTncC8sPZ6EAKKrvwauw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=269.00424&pitch=0&thumbfov=100,0,1,1,1,1,1,1,11.0,14.0,100.0,66.7,0.0,15.0,29.0,0.0,manha,tarde,1,0,1,0,10.0
"Espaço Da Marmita (Não fornecemos almoço, somente esquentamos marmitas)",ChIJ0RTqcFFZzpQRcZj_3Fyap0Y,4.6,34.0,0,restaurant,Centro,"R. Carlos Sampaio, 331 - 1° Andar - Bela Vista, São Paulo - SP, 01333-021, Brazil",-23.5684814,-46.6466803,Closed ⋅ Opens 11:30 am Mon,,https://lh5.googleusercontent.com/p/AF1QipOzs_sjICsR3l1_7r8H4y6dYOGNENcFIKfnOslj=w101-h92-k-no,0,1,1,1,1,1,0,11.5,14.5,100.0,33.3,0.0,7.0,36.0,0.0,manha,tarde,1,0,0,0,9.0
Sala de Almoço,ChIJX8ws5c1XzpQRjTHVEpKm0w4,4.2,326.0,1,restaurant,Oeste,"Rua Professor Túlio Ascarelli, 239 - Vila Madalena, São Paulo - SP, 05451-110, Brazil",-23.5444449,-46.704857,Open ⋅ Closes 3 pm,,https://lh5.googleusercontent.com/p/AF1QipOI9ZoYzO5eowsza0JSJjHPzDE10Pf8P2Y6DJHk=w122-h92-k-no,0,1,1,1,1,1,1,11.0,15.0,100.0,66.7,0.0,15.0,43.0,0.0,manha,tarde,1,1,1,0,14.0
Restaurante Jardim Leopoldina,ChIJn9lQq7j4zpQR0TGn2VJtbZI,4.5,1048.0,1,buffet restaurant,Oeste,"R. Mergenthaler, 41 - Vila Leopoldina, São Paulo - SP, 05311-030, Brazil",-23.525438,-46.73329,Opens soon ⋅ 11:30 AM,,https://lh5.googleusercontent.com/p/AF1QipPoB_IXffa8KvXzDLZ3VEGKGke1qkrH2_z6rtKk=w80-h106-k-no,0,1,1,1,1,1,1,11.5,15.0,100.0,66.7,0.0,7.0,43.0,0.0,manha,tarde,1,1,0,0,0.0
Restaurante Casa do Almoço,ChIJbZwKSCVczpQRZru-QWsVw0w,4.2,54.0,0,restaurant,Leste,"Rua Dr. Gabriel de Resende, 101 - Vila Diva (Zona Leste), São Paulo - SP, 03350-000, Brazil",-23.5713206,-46.5655256,Open ⋅ Closes 8 PM,,https://lh5.googleusercontent.com/p/AF1QipOK4qc2Kf7Ea4Jog0NKhLNcgWCVxt3b-macPda6=w174-h92-k-no,1,1,1,1,1,1,1,10.0,20.0,100.0,100.0,0.0,32.0,100.0,17.0,manha,noite,1,1,0,0,4.0
"Restaurante Villa Nostra, Almoço por Quilo e Pizzaria.",ChIJMbprTSD2zpQRrvfjwoKDOug,4.2,2488.0,1,buffet restaurant,Norte,"Av. Gen. Ataliba Leonel, 1531 - Santana, São Paulo - SP, 02068-040, Brazil",-23.5007275,-46.6145002,Opens soon ⋅ 11:30 AM,,https://lh5.googleusercontent.com/p/AF1QipON_l-A2mC-FcIL1dauekBGIxUE0to_H_cc4muy=w122-h92-k-no,1,1,1,1,1,1,1,11.5,23.5,100.0,100.0,0.0,7.0,100.0,76.0,manha,noite,1,1,0,0,8.0
Rlpm Almoço,ChIJnStRD_9hzpQRdtkReGnmBz8,4.5,10.0,5,restaurant,Outro,"R. Caracaru, 773 - Jardim Cumbica, Guarulhos - SP, 07240-110, Brazil",-23.4458026,-46.4410883,Open ⋅ Closes 1:30 PM,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UyaRDpsgViTZsupw_oGX8w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.75607&pitch=0&thumbfov=100,0,1,1,1,1,1,1,7.0,14.5,100.0,66.7,0.0,83.0,36.0,0.0,manha,tarde,1,0,0,0,11.0
Restaurante & Cervejaria Urbano's,ChIJ-YH8OD-VpgAR90cCB_MtKWw,4.4,3825.0,1,buffet restaurant,Outro,"R. Joaquim José, 1080 - Fonte Grande, Contagem - MG, 32013-390, Brazil",-19.9242164,-44.0816372,Open ⋅ Closes 4 PM,"Relaxed venue serving steak & rice meals. Informal restaurant offering homestyle classics, including hearty steak & rice dishes.",https://lh5.googleusercontent.com/p/AF1QipPdxGaOnZiXL_iL_UHWAtWN9-ztsSmw3pKNwa4t=w92-h92-k-no,1,1,1,1,1,1,1,11.0,15.0,100.0,100.0,0.0,15.0,43.0,0.0,manha,tarde,1,1,0,0,7.0
Ripito,ChIJlU0P1eFXzpQRmBB7JycdaS0,4.8,101.0,5,restaurant,Oeste,"R. Fradique Coutinho, 312 - Pinheiros, São Paulo - SP, 05416-000, Brazil",-23.5637761,-46.6857913,Open ⋅ Closes 8 PM,,https://lh5.googleusercontent.com/p/AF1QipOdvHbt5gJ3p7r00sbsRgDGIx_rvM6vpk6T4V2C=w92-h92-k-no,0,1,1,1,1,1,1,8.0,20.0,100.0,66.7,0.0,66.0,100.0,17.0,manha,noite,1,1,0,0,4.0
"Bar e Restaurante do Zé - Almoço, lanches e salgados.",ChIJYfVR4q5DzpQRjldVrVqANx8,4.5,437.0,0,restaurant,Outro,"R. Vicente de Carvalho, 666 / 670 - Anchieta, São Bernardo do Campo - SP, 09732-600, Brazil",-23.6817215,-46.5618801,Open ⋅ Closes 11 PM,,https://lh5.googleusercontent.com/p/AF1QipPU-jScKdVAjaHYtl9u2Hop6d4v3H9guHqtLcAT=w91-h92-k-no,1,1,1,1,1,1,1,7.0,23.0,100.0,100.0,0.0,83.0,100.0,68.0,manha,noite,1,1,0,0,12.0
Quinta da Canta,ChIJI4UI6ErwzpQR2jnYNoniTWI,4.7,108.0,1,restaurant,Outro,"Alameda Bélgica, 325 - Zona Rural, Mairiporã - SP, 07619-128, Brazil",-23.3787327,-46.632779,Closed ⋅ Opens 1 PM,,https://lh5.googleusercontent.com/p/AF1QipOiA_3QF52JrXbiD4k0rYwkfAhKREtAptU8Y10l=w80-h106-k-no,1,0,0,0,0,0,1,13.0,18.0,0.0,66.7,0.0,0.0,72.0,0.0,tarde,tarde,1,0,0,0,3.0
Villa Dos Sabores,ChIJFxNU0IZZzpQR49BAjns6ZBU,4.4,405.0,1,restaurant,Sul,"Rua Vergueiro, 2309 - Vila Mariana, São Paulo - SP, 04009-002, Brazil",-23.5820421,-46.6377326,Opens soon ⋅ 11:20 AM,,https://lh5.googleusercontent.com/p/AF1QipPU2iTdP4E5RVj3kcbyVRd0rcUYdikWyyrs3Ohc=w122-h92-k-no,0,1,1,1,1,1,1,11.333333333333334,15.0,100.0,66.7,0.0,10.0,43.0,0.0,manha,tarde,1,1,0,0,0.0
Restaurante Os Barreto,ChIJz0I8YWkfzpQRLNGCHFYeJ0k,4.5,670.0,1,restaurant,Outro,"Av. Pres. Castelo Branco, 6814 - Vila Tupi, Praia Grande - SP, 11703-650, Brazil",-24.0261738,-46.4652682,Open ⋅ Closes 12 AM,,https://lh5.googleusercontent.com/p/AF1QipPepiM0mr-WqceGPJxEe2p3tnUCsvBbbdMrDUZi=w91-h92-k-no,1,1,0,1,1,1,1,10.0,24.0,75.0,100.0,0.0,32.0,100.0,85.0,manha,noite,1,1,0,0,9.0
Dona Ju Restaurante,ChIJtQZkg3BWzpQRkq2tRxqTX6M,4.1,515.0,0,buffet restaurant,Oeste,"R. Frei Inácio da Conceição, 266 - Butantã, São Paulo - SP, 05362-040, Brazil",-23.5714822,-46.7427018,Open ⋅ Closes 3 PM,"Homemade food in an informal setting. Easygoing outpost for home-cooked food, including salads, Brazilian dishes & pasta.",https://lh5.googleusercontent.com/p/AF1QipO3tnWgO5qApiJg_17vYAOw-qGUXJrdbrNb1zHg=w122-h92-k-no,0,1,1,1,1,1,1,10.5,15.0,100.0,66.7,0.0,24.0,43.0,0.0,manha,tarde,1,1,0,0,15.0
Bam food almoço e Marmitex delivery somente pelo ifood,ChIJTUgua3pxVwERdY5FAjUf158,4.4,28.0,5,restaurant,Outro,"Av. São José, 151 - Ayrosa, Osasco - SP, 06283-120, Brazil",-23.5177585,-46.7730938,Open ⋅ Closes 3 PM,,https://lh5.googleusercontent.com/p/AF1QipPLLh_qAQ0Xht_vcU7EUZJ4wbfkVUaDW32iIJMd=w163-h92-k-no,0,1,1,1,1,1,1,8.0,16.0,100.0,66.7,0.0,66.0,58.0,0.0,manha,tarde,1,1,0,0,7.0
Restaurante Mister Chef Almoço E Marmitex,ChIJkygLLsHmzpQRqHanmJ8HlfY,4.7,16.0,5,restaurant,Outro,"Av. Ulisses Guimarães, 1169 - Jardim Rosas, Francisco Morato - SP, 07980-070, Brazil",-23.29253,-46.7330519,Open ⋅ Closes 3 PM,,https://lh5.googleusercontent.com/p/AF1QipOKm8R9o1Y7Ei7M-3Ia-_fThMkA0o7D2880acD2=w82-h92-k-no,0,1,1,1,1,1,1,11.0,15.0,100.0,66.7,0.0,15.0,43.0,0.0,manha,tarde,1,1,0,0,9.0
Cór,ChIJq1cGjSxWzpQRqNuO9_rieo4,4.4,1140.0,2,restaurant,Oeste,"Praça São Marcos, 825 - Alto de Pinheiros, São Paulo - SP, 05455-050, Brazil",-23.5425283,-46.7110187,Closed ⋅ Opens 12 PM,"Refined plates served in a posh eatery. Elegant restaurant featuring high-end recipes & outdoor seating in a lush, garden setting.",https://lh5.googleusercontent.com/p/AF1QipPbqqbhZs-IwLtZ40KNy1uodS-YR9tqdfdmSe4k=w80-h106-k-no,1,1,1,1,1,1,1,12.0,15.0,100.0,100.0,0.0,0.0,43.0,0.0,tarde,tarde,1,1,0,0,2.0
Farfalla Restaurante e Pizzaria - Jardins,ChIJi31f_9pZzpQRLuEytX9Uq7o,4.5,604.0,1,restaurant,Oeste,"R. Pres. Prudente, 117 - Jardim Paulista, São Paulo - SP, 01408-030, Brazil",-23.5699702,-46.6633365,Closed ⋅ Opens 12 PM,"High-end French-Italian cuisine. A charming, spacious, upscale eatery with a varied menu & a lunch buffet.",https://lh5.googleusercontent.com/p/AF1QipMUh2CiCx3YjfN_O7UZhkLzVgo5xoTKzUeMRexw=w122-h92-k-no,1,1,1,1,1,1,1,12.0,15.0,100.0,100.0,0.0,0.0,43.0,0.0,tarde,tarde,1,1,0,0,8.0
Almoço Por Kilo,ChIJc316FAdYzpQRPaRlbHRhKWA,3.9,16.0,5,buffet restaurant,Oeste,"Av. Marquês de São Vicente, 446 - Várzea da Barra Funda, São Paulo - SP, 01139-000, Brazil",-23.5215749,-46.6641253,Closed ⋅ Opens 11 AM Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eZorVYKPzHOcxoqPtqjIIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=10.641345&pitch=0&thumbfov=100,0,1,1,1,1,1,0,11.0,15.0,100.0,33.3,0.0,15.0,43.0,0.0,manha,tarde,1,1,0,0,1.0
Restaurante e Pizzaria Santa Rita,ChIJ1T9G27EDzpQRvzc0iNV1YMs,4.6,2596.0,1,pizza restaurant,Outro,"Av. Sen. Dantas, 344 - Estuário, Santos - SP, 11015-210, Brazil",-23.9623821,-46.3140422,Open ⋅ Closes 12 AM,,https://lh5.googleusercontent.com/p/AF1QipP4-Zy2DAlYkw7yyyy8LTMxFd8GASe3a0IGH0ZU=w122-h92-k-no,1,1,1,1,1,1,1,11.0,24.0,100.0,100.0,0.0,15.0,100.0,85.0,manha,noite,1,1,0,0,1.0
Ôchopp - Almoço e Happy Hour,ChIJVz438PpazpQRtawF8m-OgX4,4.3,1656.0,1,brazilian restaurant,Sul,"R. Guatapara, 191 - Vila Guarani, São Paulo - SP, 04310-040, Brazil",-23.6341098,-46.6405368,Opens soon ⋅ 11:30 AM,"Self-service restaurant with varied fare. Buffet restaurant offering salads, hot dishes & beer in a simple setting with a big screen TV.",https://lh5.googleusercontent.com/p/AF1QipN-LzAcdaFhKGiTq-ifWz5dfVfcYsprLR8NCCtw=w122-h92-k-no,0,1,1,1,1,1,1,11.5,14.833333333333334,100.0,66.7,0.0,7.0,41.0,0.0,manha,tarde,1,1,0,0,0.0
Restaurante Mari Mariá,ChIJ_w4v8VRYzpQRgI85TJUcStk,4.3,895.0,5,restaurant,Centro,"conj 11 primeiro andar, Largo do Café, 14 - Centro Histórico de São Paulo, São Paulo - SP, 01012-030, Brazil",-23.5462318,-46.6351014,Closed ⋅ Opens 11 AM Mon,,https://lh5.googleusercontent.com/p/AF1QipOOqgRF05f-1Ur96d_yV0_SXKk70DClnJAZmYil=w80-h106-k-no,0,1,1,1,1,1,0,11.0,15.5,100.0,33.3,0.0,15.0,51.0,0.0,manha,tarde,1,1,0,0,12.0
Pratos Tipicos do Brasil,ChIJs2-yL2NnzpQRMLioobsX5vo,4.7,17.0,5,brazilian restaurant,Leste,"R. Ângelo Arloti, 53 - Cidade Líder, São Paulo - SP, 08280-640, Brazil",-23.5598582,-46.4814057,Open ⋅ Closes 11 pm,,https://lh5.googleusercontent.com/p/AF1QipPaie4ALr-5o4JcIL8JqK6APM2E5ohiNCz8JqjR=w92-h92-k-no,1,0,1,1,1,1,1,10.0,23.0,75.0,100.0,0.0,32.0,100.0,68.0,manha,noite,1,1,0,0,10.0
Julieta Restaurante,ChIJU2L0_CeAmQARO9eDslr1KZY,4.7,2065.0,2,restaurant,Outro,"Praia do Flamengo, 340 - primeiro Andar - Flamengo, Rio de Janeiro - RJ, 22210-065, Brazil",-22.9363915,-43.1744513,Closed ⋅ Opens 12 pm,"Classic French haute cuisine. A cozy, opulent French eatery with classic décor & an extensive, sophisticated gourmet menu.",https://lh5.googleusercontent.com/p/AF1QipMeZtnP4aqVY88pwd04ffmMxgEcbqVLQYmjwosR=w80-h106-k-no,1,0,1,1,1,1,1,11.5,23.0,75.0,100.0,0.0,7.0,100.0,68.0,manha,noite,1,1,1,0,4.0
Desejo de Café,ChIJgZKK_Z1QzpQRAyss_2bhefo,4.6,718.0,1,restaurant,Sul,"R. Vieira de Morais, 1183 - Campo Belo, São Paulo - SP, 04617-014, Brazil",-23.6227146,-46.6708904,Open ⋅ Closes 3 pm ⋅ Reopens 6 pm,"Lunch specials in a café & pastry store. A laid-back, informal spot for cakes, specialty coffee & lunch specials.",https://lh5.googleusercontent.com/p/AF1QipNDIH_Ma_jnOaIAbKw5NIUOPMPMUIjBlE62zueR=w122-h92-k-no,1,1,1,1,1,1,1,8.0,15.0,100.0,100.0,0.0,66.0,43.0,0.0,manha,tarde,1,1,0,0,8.0
Lanchonete Aconchego,ChIJEZNDqqVRzpQR9MyfB8-jNuI,4.3,41.0,5,bar,Sul,"R. América Central, 301 - Santo Amaro, São Paulo - SP, 04755-010, Brazil",-23.6467513,-46.711398,Open 24 hours,,https://lh5.googleusercontent.com/p/AF1QipNM_Gr9ihgQXl5yKVPjbwguT4VhXpAl47F3LtRs=w122-h92-k-no,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,1,1,1,0,
Cantinho da Cecília,ChIJ2RJETEdYzpQRPAQA0rUzgsM,4.3,2682.0,1,pizza restaurant,Centro,"Rua Dona Veridiana, 14 - Vila Buarque, São Paulo - SP, 01238-010, Brazil",-23.5396833,-46.6504932,Open ⋅ Closes 1 am,"Simple & cozy restaurant. Varied buffet of salads & hot dishes at lunch, with soups & pizzas at night.",https://lh5.googleusercontent.com/p/AF1QipOZFaOB5_h6xqG1UXKFJYf0N-a2flKWhReGlP4F=w122-h92-k-no,1,1,1,1,1,1,1,11.0,1.0,100.0,100.0,0.0,15.0,100.0,85.0,manha,madrugada,1,1,0,0,7.0
Cantinho Da Val Lanches & Almoço,ChIJU85wPq7-zpQRAz13sT3bkXw,4.0,2.0,5,restaurant,Oeste,"R. Jurubim, 927 - Vila Boacava, São Paulo - SP, 05170-100, Brazil",-23.4835872,-46.7540043,Open ⋅ Closes 2 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MDScrBviZ3gtKHfShrxxWQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.23515&pitch=0&thumbfov=100,0,1,1,1,1,1,1,11.0,18.0,100.0,66.7,0.0,15.0,87.0,0.0,manha,tarde,1,1,0,0,3.0
Abbraccio Cucina Italiana,ChIJly3wj0hXzpQRuUtgMoo298A,4.5,2700.0,2,italian restaurant,Oeste,"R. Olimpíadas, 360 Shopping - Térreo - Loja 123/124 - Vila Olímpia, São Paulo - SP, 04551-000, Brazil",-23.595596,-46.6866818,Closed ⋅ Opens 12 pm,Italian food in a refined setting. Upscale Italian restaurant with wine list specializing in ravioli stuffed with lobster cream.,https://lh5.googleusercontent.com/p/AF1QipPH8hKSVDVTVK0V0i6yrUhdeZamvgy3SwMs5UI=w122-h92-k-no,1,1,1,1,1,1,1,12.0,15.5,100.0,100.0,0.0,0.0,51.0,0.0,tarde,tarde,1,1,0,0,2.0
Restaurante da Cuca,ChIJq9ukJ6RZzpQRaysBdwigZUM,4.1,19.0,0,restaurant,Centro,"R. São Joaquim, 191 - Liberdade, São Paulo - SP, 01508-001, Brazil",-23.561638,-46.6368481,Open ⋅ Closes 12 am,,https://lh5.googleusercontent.com/p/AF1QipODKBmRDZ36oqVrCpD2uQUumpn4dXTBkXd4X6Ug=w80-h122-k-no,1,1,1,1,1,1,1,5.5,22.5,100.0,100.0,8.0,100.0,100.0,59.0,madrugada,noite,1,1,0,0,10.0
